n_bar,chi_IX_IX_fit,chi_XI_XI_fit
6.9734834834834825,0.0035991118475172533,0.0035991092112123662
6.993493493493493,0.003606174099060008,0.00360617149069432
7.013503503503503,0.0036132279579411805,0.0036132253776386064
7.033513513513513,0.0036202734345834858,0.00362027088246676
7.0535235235235225,0.0036273105393951777,0.0036273080155858495
7.073533533533532,0.0036343392827700386,0.003634336787388483
7.093543543543543,0.0036413596750873908,0.003641357208252805
7.113553553553553,0.0036483717267120847,0.003648369288542493
7.133563563563563,0.0036553754479945137,0.0036553730386067675
7.153573573573572,0.003662370849270599,0.0036623684687803813
7.173583583583583,0.0036693579408618006,0.003669355589383626
7.193593593593593,0.0036763367330751103,0.0036763344107223275
7.213603603603603,0.003683307236203056,0.003683304943087854
7.233613613613612,0.0036902694605237003,0.0036902671967571046
7.253623623623623,0.0036972234163006406,0.003697221181992518
7.273633633633633,0.003704169113783007,0.0037041669090420713
7.293643643643643,0.003711106563205466,0.003711104388139275
7.3136536536536525,0.0037180357747882194,0.003718033629503178
7.333663663663663,0.003724956758737002,0.0037249546433383673
7.353673673673673,0.003731869525243084,0.003731867439834965
7.373683683683683,0.0037387740844832696,0.0037387720291686293
7.393693693693693,0.0037456704466198986,0.0037456684215005586
7.413703703703703,0.0037525586218008448,0.0037525566269774853
7.433713713713713,0.0037594386201595166,0.003759436655731679
7.453723723723723,0.0037663104518148574,0.0037663085178809472
7.473733733733733,0.0037731741268713457,0.0037731722235286344
7.493743743743743,0.003780029655418993,0.003780027782763619
7.513753753753753,0.0037868770475333467,0.0037868752056603202
7.533763763763763,0.0037937163132754884,0.0037937145022786923
7.553773773773773,0.0038005474626920345,0.0038005456826642257
7.573783783783783,0.0038073705058151368,0.0038073687568479474
7.593793793793793,0.0038141854526624794,0.003814183734846425
7.613803803803803,0.0038209923132372843,0.003820990626661758
7.633813813813813,0.003827791097528305,0.0038277894422815845
7.653823823823823,0.003834581815509831,0.003834580191679082
7.673833833833833,0.0038413644771416876,0.0038413628848129613
7.693843843843843,0.0038481390923692333,0.003848137531627471
7.713853853853853,0.0038549056711233605,0.0038549041420523973
7.733863863863863,0.0038616642233204983,0.003861662726003064
7.753873873873873,0.0038684147588626087,0.0038684132933803294
7.773883883883883,0.00387515728763719,0.00387515585407059
7.793893893893893,0.0038818918195172728,0.0038818904179457802
7.813903903903903,0.003888618364361424,0.0038886169948633698
7.833913913913913,0.003895336932013746,0.003895335594666364
7.853923923923923,0.0039020475323038734,0.0039020462271833084
7.873933933933933,0.003908750175046977,0.003908748902228283
7.893943943943943,0.0039154448700437616,0.003915443629600905
7.913953953953953,0.003922131627080468,0.003922130419086329
7.933963963963963,0.00392881045592887,0.003928809280455247
7.953973973973973,0.0039354813663462765,0.003935480223463884
7.973983983983983,0.00394214436807553,0.0039421432578540085
7.9939939939939935,0.00394879947084501,0.003948798393352921
8.014004004004002,0.00395544668436863,0.003955445639673459
8.034014014014014,0.003962086018345836,0.003962085006514
8.054024024024024,0.003968717482461611,0.003968716503558454
8.074034034034034,0.003975341086386471,0.00397534014047627
8.094044044044043,0.00398195683977647,0.003981955926922436
8.114054054054053,0.003988564752273191,0.003988563872537473
8.134064064064063,0.003995164833503755,0.003995163986947442
8.154074074074073,0.004001757093080819,0.004001756279763938
8.174084084084082,0.00400834154060257,0.004008340760584095
8.194094094094094,0.004014918185652737,0.004014917438990582
8.214104104104104,0.004021487037800578,0.004021486324551608
