n_bar,chi_XX_XX_fit,chi_II_XX_abs_fit
7.753873873873873,0.02703028360070684,0.11866774151673137
7.773883883883883,0.02714048602760833,0.11889933927784556
7.793893893893893,0.027250834189022164,0.11913072935086566
7.813903903903903,0.0273613276354541,0.11936191175996136
7.833913913913913,0.02747196591809823,0.11959288652984644
7.853923923923923,0.027582748588836976,0.11982365368577894
7.873933933933933,0.0276936752002411,0.12005421325356105
7.893943943943943,0.02780474530556971,0.1202845652595392
7.913953953953953,0.027915958458770245,0.12051470973060406
7.933963963963963,0.02802731421447846,0.12074464669419041
7.953973973973973,0.02813881212801849,0.12097437617827726
7.973983983983983,0.02825045175540278,0.12120389821138788
7.9939939939939935,0.028362232653332105,0.12143321282258966
8.014004004004002,0.0284741543791956,0.12166232004149422
8.034014014014014,0.02858621649107072,0.12189121989825742
8.054024024024024,0.028698418547723276,0.12211991242357928
8.074034034034034,0.028810760108607367,0.12234839764870396
8.094044044044043,0.028923240733865506,0.12257667560541999
8.114054054054053,0.029035859984328463,0.12280474632605992
8.134064064064063,0.02914861742151542,0.12303260984350062
8.154074074074073,0.02926151260763384,0.12326026619116309
8.174084084084082,0.029374545105579544,0.12348771540301261
8.194094094094094,0.029487714478936698,0.12371495751355856
8.214104104104104,0.02960102029197779,0.1239419925578546
8.234114114114114,0.02971446210966364,0.12416882057149854
8.254124124124123,0.029828039497643427,0.12439544159063244
8.274134134134133,0.029941752022254655,0.12462185565194246
8.294144144144143,0.030055599250523167,0.12484806279265916
8.314154154154153,0.03016958075016314,0.12507406305055707
8.334164164164163,0.030283696089577088,0.12529985646395506
8.354174174174172,0.030397944837855875,0.12552544307171618
8.374184184184184,0.030512326564778692,0.12575082291324766
8.394194194194194,0.030626840840813047,0.1259759960285009
8.414204204204204,0.030741487237114812,0.12620096245797158
8.434214214214213,0.03085626532552818,0.1264257222426995
8.454224224224223,0.030971174678585723,0.12665027542426874
8.474234234234233,0.031086214869508286,0.12687462204480754
8.494244244244243,0.03120138547220509,0.1270987621469883
8.514254254254253,0.03131668606127369,0.12732269577402766
8.534264264264264,0.03143211621199997,0.12754642296968655
8.554274274274274,0.031547675500358155,0.1277699437782699
8.574284284284284,0.031663363503010786,0.12799325824462696
8.594294294294293,0.031779179797308786,0.12821636641415124
8.614304304304303,0.03189512396129138,0.12843926833278035
8.634314314314313,0.03201119557368614,0.12866196404699615
8.654324324324323,0.03212739421390898,0.12888445360382467
8.674334334334333,0.03224371946206414,0.12910673705083614
8.694344344344344,0.032360170898944204,0.12932881443614502
8.714354354354354,0.032476748106030094,0.12955068580840998
8.734364364364364,0.032593450665491075,0.1297723512168338
8.754374374374374,0.03271027816018473,0.1299938107111636
8.774384384384383,0.032827230173656984,0.1302150643416906
8.794394394394393,0.03294430629014213,0.13043611215925022
8.814404404404403,0.03306150609456275,0.13065695421522222
8.834414414414413,0.033178829172529796,0.13087759056153028
8.854424424424424,0.033296275110342555,0.13109802125064263
