condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate
rates_10ba39339e235ff4,1.0,YZ,2,correlated,2.9685888856077233e-09,0.0
rates_10ba39339e235ff4,1.0,ZI,1,local,-1.3869500158863093e-10,0.0001968585879504124
rates_10ba39339e235ff4,1.0,ZX,2,correlated,-4.648854055450877e-10,0.00012814916315559758
rates_10ba39339e235ff4,1.0,ZY,2,correlated,-2.6667832443287074e-10,0.0
rates_10ba39339e235ff4,1.0,ZZ,2,correlated,-7.208428151109391e-17,1.3503537649810194e-08
rates_10ba39339e235ff4,2.0,IX,1,local,3.8702843921774584e-08,0.002385947018308598
rates_10ba39339e235ff4,2.0,IY,1,local,-1.0009216121587696e-09,0.00013629163202216534
rates_10ba39339e235ff4,2.0,IZ,1,local,-1.2799419846857535e-10,0.00018874275208289422
rates_10ba39339e235ff4,2.0,XI,1,local,3.9436545188928e-08,0.0023859489733664228
rates_10ba39339e235ff4,2.0,XX,2,correlated,0.04364051467827064,0.0016390729378336685
rates_10ba39339e235ff4,2.0,XY,2,correlated,1.0685109933202345e-09,0.0001887090508999857
rates_10ba39339e235ff4,2.0,XZ,2,correlated,-1.0041649431517156e-09,0.0001362530160350194
rates_10ba39339e235ff4,2.0,YI,1,local,1.0227668161041093e-09,0.00013629431150583173
rates_10ba39339e235ff4,2.0,YX,2,correlated,1.2160115567238574e-09,0.00018870727272585577
rates_10ba39339e235ff4,2.0,YY,2,correlated,-1.835784650434803e-09,3.0533588479592e-09
rates_10ba39339e235ff4,2.0,YZ,2,correlated,-1.6393486148265757e-09,0.0
rates_10ba39339e235ff4,2.0,ZI,1,local,1.2339006166344195e-10,0.0001887428330724885
rates_10ba39339e235ff4,2.0,ZX,2,correlated,-1.3447932950757445e-09,0.00013625203373656214
rates_10ba39339e235ff4,2.0,ZY,2,correlated,-2.7539649917930537e-09,0.0
rates_10ba39339e235ff4,2.0,ZZ,2,correlated,9.23203775643291e-16,7.59351879335915e-09
rates_10ba39339e235ff4,3.0,IX,1,local,8.119218022383997e-09,0.003233629837427819
rates_10ba39339e235ff4,3.0,IY,1,local,-1.4694217762670815e-09,0.00014033983899911168
rates_10ba39339e235ff4,3.0,IZ,1,local,-6.614111814406624e-10,0.00018471415301048576
rates_10ba39339e235ff4,3.0,XI,1,local,1.3109804974980563e-08,0.003233626684733907
rates_10ba39339e235ff4,3.0,XX,2,correlated,0.058210735960269634,0.002874065397287005
rates_10ba39339e235ff4,3.0,XY,2,correlated,-4.122196973723905e-09,0.00018464941135729426
rates_10ba39339e235ff4,3.0,XZ,2,correlated,-7.71405684079433e-10,0.0001402938817994446
rates_10ba39339e235ff4,3.0,YI,1,local,-1.2403383628985292e-09,0.00014033839593367712
rates_10ba39339e235ff4,3.0,YX,2,correlated,-1.4953592249448728e-09,0.00018464715966568868
rates_10ba39339e235ff4,3.0,YY,2,correlated,-2.693513857295392e-10,0.0
rates_10ba39339e235ff4,3.0,YZ,2,correlated,5.583516922667585e-09,0.0
rates_10ba39339e235ff4,3.0,ZI,1,local,3.920363994501785e-10,0.00018471483409543312
rates_10ba39339e235ff4,3.0,ZX,2,correlated,-4.45308686407932e-10,0.00014029689547147997
rates_10ba39339e235ff4,3.0,ZY,2,correlated,3.8342313176564166e-09,0.0
rates_10ba39339e235ff4,3.0,ZZ,2,correlated,-7.90435623865531e-16,8.144500372039777e-09
