condition_id,nbar,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,average_infidelity,abs_chi_II_XX,chi_XX_XX,generator_frobenius_norm,hamiltonian_fit_frobenius_norm,pauli_dissipator_fit_frobenius_norm,unmodeled_generator_frobenius_norm,generator_reconstruction_error,generator_imaginary_frobenius_norm,gamma_nnls_residual,cptp_projection_iterations,cptp_min_choi_eigenvalue,cptp_tp_frobenius_error,cptp_relative_final_step
rates_2d87d3caf1b8c595,3.0,0.0,36.0,13.333333333333334,0.0,0.01105929329682125,0.057389416485536526,0.0062134312315997265,0.33366232416867175,0.32928980970544125,0.04742697910289209,0.025484298047383804,4.371935664346991e-15,3.0029975740285574e-15,0.025484298035207718,1.0,7.031649632834124e-08,1.5721995364750215e-16,1.0134183537893327e-15
rates_2d87d3caf1b8c595,4.0,0.0,36.0,13.333333333333334,0.0,0.014995432091865803,0.07101826524258857,0.009572568604708308,0.4158211195741708,0.4099228825669476,0.062062542965107714,0.03191668204286699,4.327142443618459e-15,2.6111718308710104e-15,0.03191668203755777,1.0,3.022566819353409e-07,1.111658940701649e-16,1.2386467553466297e-15
rates_2f2bff26a9e90023,0.01,0.0,36.0,0.0,2.0,0.0014930043405270155,0.013700912387126668,0.0005130783199445046,0.07807875685053144,0.07761733504865344,0.00745813747328509,0.0040271275990538995,5.350873752877391e-15,3.564548551845743e-15,0.004027127585573451,4.0,-4.711288225342e-12,2.2206047993902176e-16,9.927013810716588e-12
rates_2f2bff26a9e90023,1.0,0.0,36.0,0.0,2.0,0.0038487211122602005,0.028641503447564984,0.00159921315349192,0.16410967599041132,0.16268282856003777,0.018264542148872784,0.011519094820131977,5.200711588129533e-15,2.668322821793938e-15,0.01151909481674845,5.0,-6.684630657074738e-13,3.897094871353172e-18,1.2975772893357812e-12
rates_2f2bff26a9e90023,2.0,0.0,36.0,0.0,2.0,0.006807009800679254,0.04328666057450366,0.0035320320220103684,0.2494443735267786,0.2468676441495563,0.030489174806106516,0.018688819541579586,4.743774928969994e-15,2.708942724756488e-15,0.018688819537370265,5.0,-1.2253351188916318e-12,1.5833530547598216e-16,2.4557218516850027e-12
rates_2f2bff26a9e90023,3.0,0.0,36.0,0.0,2.0,0.010283171317984775,0.05744578059355516,0.006219512626099523,0.3331836142395243,0.3292892849777826,0.043945044508492334,0.025469995282278696,6.717836612044245e-15,3.2871018594244753e-15,0.02546999527512193,6.0,-9.94347369722632e-13,9.833656673891311e-18,2.058004946745351e-12
rates_2f2bff26a9e90023,4.0,0.0,36.0,0.0,2.0,0.014223181696070952,0.07108807140703631,0.009581992573613071,0.41531774943798827,0.40992256954757894,0.058604052517388205,0.03190431008946944,5.854944972167615e-15,2.462795111232437e-15,0.03190431008368663,6.0,-6.722040404313795e-13,1.1104779047767828e-16,1.418645782338502e-12
rates_32d7c04b5236f41d,0.01,20.0,72.0,0.0,0.0,0.002949280053774839,0.013739108960039945,0.0008389058432124539,0.08017378467629192,0.07763357448210495,0.016420211424788292,0.011456025454630016,4.718454878033608e-15,1.4189167854889839e-15,0.011456025453711768,26.0,-7.572130212116797e-12,2.4827663705429135e-16,2.5181321763190747e-12
rates_32d7c04b5236f41d,1.0,20.0,72.0,0.0,0.0,0.006561527400002909,0.02861250868906515,0.001933080383063934,0.1680208891767567,0.16235138270650368,0.03504487878415418,0.025394964147213595,4.838843484717558e-15,2.02650274442095e-15,0.025394964147035407,24.0,-8.19644633820336e-12,1.1123592327606923e-16,2.7222285003662707e-12
rates_32d7c04b5236f41d,2.0,20.0,72.0,0.0,0.0,0.010691001166807813,0.04310286298555836,0.003877471902372985,0.254907096802278,0.24597550379949376,0.05456429068938525,0.038683558682151335,5.6972485399283165e-15,1.8932561783766448e-15,0.03868355868143371,32.0,-8.08597616630894e-12,2.2224562307822953e-16,2.74002016458882e-12
rates_32d7c04b5236f41d,3.0,20.0,72.0,0.0,0.0,0.015243254228859728,0.057036290267292414,0.006568111343181179,0.3399618078603675,0.3276669792066839,0.07472272217394985,0.051233742125387415,5.111474498800775e-15,2.1368606739746173e-15,0.05123374212378588,29.0,-7.574445257949277e-12,3.695361295583322e-18,2.799898547669609e-12
rates_32d7c04b5236f41d,4.0,20.0,72.0,0.0,0.0,0.02016796924148938,0.07039660369431042,0.009917927611113512,0.42321848178344007,0.40743794515902376,0.09552095368352215,0.06311855175035896,5.441754513334417e-15,1.8634445675359233e-15,0.06311855174939719,25.0,-7.596444090063597e-12,1.1356509672128082e-16,2.6436541492492346e-12
rates_360eade92eac1e2f,0.01,0.0,36.0,3.3333333333333335,0.0,0.0014797037143130078,0.013701140091578566,0.0005130718132381592,0.07807061387358812,0.0776173283884737,0.007372311459433264,0.004027419543557609,6.00245519631128e-15,3.724366941274594e-15,0.004027419536458195,5.0,-2.3136822776198943e-12,1.1103248245413503e-16,4.648585621746413e-12
rates_360eade92eac1e2f,1.0,0.0,36.0,3.3333333333333335,0.0,0.0038354808515203235,0.028641968962723755,0.0015992038982651161,0.16409963793295157,0.16268275107477037,0.018174764421875735,0.011519184462426491,4.866571310516842e-15,2.2036226165767417e-15,0.011519184458214739,5.0,-1.9388738270610162e-12,1.92303188443469e-16,3.678354267497514e-12
rates_360eade92eac1e2f,2.0,0.0,36.0,3.3333333333333335,0.0,0.006793839516090295,0.0432873673913801,0.003532042556214226,0.24943344284209978,0.24686754736479372,0.030400378308557487,0.01868885937800818,5.909756850663099e-15,2.2568220194733145e-15,0.01868885937036766,5.0,-1.0099085851685731e-12,2.2226643664784796e-16,2.1457328025750613e-12
rates_360eade92eac1e2f,3.0,0.0,36.0,3.3333333333333335,0.0,0.010270075353247156,0.05744675634566801,0.006219536650307431,0.3331722186769461,0.3292893654352768,0.043857925659824375,0.025470050376248957,5.584626896066078e-15,2.422870248413109e-15,0.025470050365166873,6.0,-4.834206514581791e-12,2.4827275150730166e-16,7.601126146259516e-12
rates_360eade92eac1e2f,4.0,0.0,36.0,3.3333333333333335,0.0,0.014210153371462742,0.07108922695341169,0.009582056398431323,0.41530552664577847,0.4099223685487277,0.05851877358368052,0.03190431576119741,4.300098318380574e-15,1.7661735993382658e-15,0.03190431575929327,5.0,-1.209802210816947e-12,1.1277312582889573e-16,2.519138373343932e-12
rates_370adf81f1b648c5,0.01,20.0,9.0,0.0,0.0,0.00126969844752729,0.013741776044184759,0.00027325580425750204,0.07824033150771416,0.07777146549878486,0.006736774833717061,0.005269202354068854,5.771826339266358e-15,2.3171154151661788e-15,0.0052692023521883685,24.0,-8.654207116978439e-12,2.48274541640145e-16,3.052455230775396e-12
