pair_id,source_x,source_y,multiplier_x,multiplier_y,strength_x_s^-1,strength_y_s^-1,condition_id,x_only_condition_id,y_only_condition_id,zero_condition_id,nbar,pauli,pauli_weight,mode_class,grid_h_rad_per_gate,grid_gamma_per_gate,x_only_h_rad_per_gate,x_only_gamma_per_gate,y_only_h_rad_per_gate,y_only_gamma_per_gate,zero_h_rad_per_gate,zero_gamma_per_gate,interaction_gamma_per_gate,interaction_h_rad_per_gate
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XY,2,correlated,3.6585526223657924e-09,2.3587135447258488e-09,3.6585526223657924e-09,2.3587135447258488e-09,-1.741786819161499e-09,4.457403101680936e-09,-1.741786819161499e-09,4.457403101680936e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,XZ,2,correlated,4.451639984113048e-09,1.344182643364916e-09,4.451639984113048e-09,1.344182643364916e-09,-1.7976886043286459e-09,2.0048041848635705e-09,-1.7976886043286459e-09,2.0048041848635705e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YI,1,local,2.4573179655360555e-09,2.461881765180482e-09,2.4573179655360555e-09,2.461881765180482e-09,-8.599115536275106e-11,2.5204308967882616e-09,-8.599115536275106e-11,2.5204308967882616e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YX,2,correlated,2.2894562044960952e-09,4.291222829036706e-09,2.2894562044960952e-09,4.291222829036706e-09,3.665353676914303e-09,3.442685782843502e-09,3.665353676914303e-09,3.442685782843502e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YY,2,correlated,9.115009456343615e-09,6.48072610077777e-10,9.115009456343615e-09,6.48072610077777e-10,-3.811210581619316e-09,4.6139155065648324e-09,-3.811210581619316e-09,4.6139155065648324e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,YZ,2,correlated,-3.4254962226286335e-09,9.923278750380918e-10,-3.4254962226286335e-09,9.923278750380918e-10,-1.014829336513181e-09,2.6957229913134252e-09,-1.014829336513181e-09,2.6957229913134252e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZI,1,local,5.196699941723396e-11,4.800412571812101e-09,5.196699941723396e-11,4.800412571812101e-09,1.3512532420043294e-10,2.4683907325293853e-09,1.3512532420043294e-10,2.4683907325293853e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZX,2,correlated,4.615481883947412e-09,1.3735627553434528e-09,4.615481883947412e-09,1.3735627553434528e-09,-1.902926413529346e-09,2.0728728623644623e-09,-1.902926413529346e-09,2.0728728623644623e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZY,2,correlated,-1.7530403741535331e-09,1.0819997255656403e-09,-1.7530403741535331e-09,1.0819997255656403e-09,-5.381032890619856e-09,3.2122464424964876e-09,-5.381032890619856e-09,3.2122464424964876e-09,0.0,0.0
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,ZZ,2,correlated,-4.772265312908696e-16,1.5423933928020508e-09,-4.772265312908696e-16,1.5423933928020508e-09,2.6700504001365136e-15,3.3467925419553403e-09,2.6700504001365136e-15,3.3467925419553403e-09,0.0,0.0
