pair_id,source_i,source_j,epsilon_multiplier,condition_id,single_i_condition_id,single_j_condition_id,zero_condition_id,nbar,pair_infidelity,single_i_infidelity,single_j_infidelity,zero_infidelity,interaction_infidelity,kappa_multiplier,kappa_physical_s2
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,rates_7affb8fbc133d6bd,rates_d40c9e1dbffac54a,rates_70251d48c79bc447,rates_7283b228c09abbcb,3.0,0.0067101625574684,0.0055336339464873,0.0065274971072746,0.0053504253160057,-5.431802877998645e-07,-2.172721151199458e-06,-1.2070673062219211e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.25,rates_959997aab08ed685,rates_19f143240f6c0d42,rates_5d0830fbd54877b3,rates_7283b228c09abbcb,3.0,0.0060315368703932615,0.005442035739808615,0.005940070522135299,0.0053504253160057,-1.4407554495277086e-07,-2.305208719244334e-06,-1.2806715106912965e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.125,rates_0e1e57a650d2127b,rates_73659cb088efe49c,rates_d020294e2819f325,rates_7283b228c09abbcb,3.0,0.005691280449356517,0.005396216920752983,0.005645518794657689,0.0053504253160057,-2.995004845518512e-08,-1.9168031011318476e-06,-1.0648906117399153e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,rates_7affb8fbc133d6bd,rates_d40c9e1dbffac54a,rates_70251d48c79bc447,rates_7283b228c09abbcb,4.0,0.0098513907360429,0.0084007493446396,0.0096728023401937,0.0082214370008468,-7.239479436014357e-07,-2.8957917744057426e-06,-1.6087732080031904e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.25,rates_959997aab08ed685,rates_19f143240f6c0d42,rates_5d0830fbd54877b3,rates_7283b228c09abbcb,4.0,0.009038298037204795,0.008311116146643038,0.008948810228854298,0.0082214370008468,-1.913374457415684e-07,-3.0613991318650946e-06,-1.700777295480608e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.125,rates_0e1e57a650d2127b,rates_73659cb088efe49c,rates_d020294e2819f325,rates_7283b228c09abbcb,4.0,0.00863034356365111,0.008266264438300697,0.008585538222855127,0.0082214370008468,-2.209665791313986e-08,-1.4141861064409511e-06,-7.856589480227507e-09
motional_heating__photon_scattering,motional_heating,photon_scattering,0.5,rates_e6d1576ac61ecf0f,rates_d40c9e1dbffac54a,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,0.01,0.000723596099284407,0.0004438274759339,0.0005286263298017,0.0002487641440845,-9.356236669292748e-08,-3.7424946677170993e-07,-9.356236669292748e-09
motional_heating__photon_scattering,motional_heating,photon_scattering,0.25,rates_8918455988c8e258,rates_19f143240f6c0d42,rates_9665eae4dd26eecd,rates_7283b228c09abbcb,0.01,0.0004862346492767733,0.0003463016960079113,0.0003887068048520348,0.0002487641440845,-9.707498672799093e-09,-1.5531997876478548e-07,-3.882999469119637e-09
motional_heating__photon_scattering,motional_heating,photon_scattering,0.125,rates_65da2bd2517a5c79,rates_73659cb088efe49c,rates_7e6b386b306245c2,rates_7283b228c09abbcb,0.01,0.00036751837367599016,0.0002975328235125252,0.0003187288733371707,0.0002487641440845,2.08209107942464e-08,1.3325382908317696e-06,3.331345727079424e-08
motional_heating__photon_scattering,motional_heating,photon_scattering,0.5,rates_e6d1576ac61ecf0f,rates_d40c9e1dbffac54a,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,1.0,0.0017724418017301957,0.0014930351155408,0.0015813673514564,0.0013018788028587,-8.186240830435759e-08,-3.2744963321743037e-07,-8.186240830435759e-09
motional_heating__photon_scattering,motional_heating,photon_scattering,0.25,rates_8918455988c8e258,rates_19f143240f6c0d42,rates_9665eae4dd26eecd,rates_7283b228c09abbcb,1.0,0.0015372058026560387,0.0013974596514891857,0.001441651962697632,0.0013018788028587,-2.7008672079213702e-08,-4.3213875326741924e-07,-1.080346883168548e-08
motional_heating__photon_scattering,motional_heating,photon_scattering,0.125,rates_65da2bd2517a5c79,rates_73659cb088efe49c,rates_7e6b386b306245c2,rates_7283b228c09abbcb,1.0,0.0014195475173176542,0.001349675138547779,0.0013717685610152852,0.0013018788028587,-1.7379386710140998e-08,-1.1122807494490239e-06,-2.7807018736225597e-08
motional_heating__photon_scattering,motional_heating,photon_scattering,0.5,rates_e6d1576ac61ecf0f,rates_d40c9e1dbffac54a,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,2.0,0.003491914714634725,0.0032130852810559,0.0033047811572902,0.0030258929745734,-5.874913797500672e-08,-2.3499655190002688e-07,-5.8749137975006724e-09
motional_heating__photon_scattering,motional_heating,photon_scattering,0.25,rates_8918455988c8e258,rates_19f143240f6c0d42,rates_9665eae4dd26eecd,rates_7283b228c09abbcb,2.0,0.003258936726395212,0.0031195106026273844,0.0031653468664354367,0.0030258929745734,-2.7768094209429384e-08,-4.4428950735087014e-07,-1.1107237683771753e-08
motional_heating__photon_scattering,motional_heating,photon_scattering,0.125,rates_65da2bd2517a5c79,rates_73659cb088efe49c,rates_7e6b386b306245c2,rates_7283b228c09abbcb,2.0,0.003142436136081117,0.003072719722451822,0.0030956154859435037,0.0030258929745734,-6.097740808813645e-09,-3.902554117640733e-07,-9.756385294101832e-09
motional_heating__photon_scattering,motional_heating,photon_scattering,0.5,rates_e6d1576ac61ecf0f,rates_d40c9e1dbffac54a,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,3.0,0.005811608874332519,0.0055336339464873,0.0056284731390515,0.0053504253160057,-7.289520058059717e-08,-2.915808023223887e-07,-7.289520058059717e-09
