nbar,component,multiplier_x,multiplier_y,multiplier_product,observed,fitted_prediction,fitted_residual,loocv_prediction,loocv_residual,fitted_residual_over_peak,loocv_residual_over_peak
1.0,local_gamma_X,0.5,1.0,0.5,7.259735047470339e-08,7.422208829286265e-08,-1.6247378181592635e-09,7.422298829996315e-08,-1.6256378252597644e-09,-0.0006883132548151554,-0.0006886945389889948
1.0,local_gamma_X,1.0,1.0,1.0,1.4811067185087402e-07,1.484441765857253e-07,-3.335047348512773e-10,1.484449167821128e-07,-3.342449312387887e-10,-0.00014128786009414231,-0.00014160144114026311
1.0,local_gamma_X,2.0,1.0,2.0,3.0834703818799286e-07,2.968883531714506e-07,1.1458685016542255e-08,2.9678594347433305e-07,1.1561094713659805e-08,0.004854423089981106,0.004897808521870342
1.0,local_gamma_X,4.0,1.0,4.0,6.099451744747726e-07,5.937767063429012e-07,1.6168468131871403e-08,5.93182772085223e-07,1.6762402389549583e-08,0.006849702641766545,0.007101320359702017
1.0,local_gamma_X,0.5,2.0,1.0,1.5007531810547518e-07,1.484441765857253e-07,1.631141519749877e-09,1.4844055635208457e-07,1.6347617533906038e-09,0.0006910261557124176,0.0006925598522710804
1.0,local_gamma_X,1.0,2.0,2.0,2.971293894046004e-07,2.968883531714506e-07,2.41036233149796e-10,2.9688619895850246e-07,2.4319044609793387e-10,0.00010211397329058646,0.00010302659642850148
1.0,local_gamma_X,2.0,2.0,4.0,6.013684788184651e-07,5.937767063429012e-07,7.591772475563948e-09,5.93497829351404e-07,7.870649467061169e-09,0.0032162220661495697,0.0033343671155015844
1.0,local_gamma_X,4.0,2.0,8.0,1.20257618401648e-06,1.1875534126858024e-06,1.5022771330677617e-08,1.1850726325144407e-06,1.7503551502039295e-08,0.006364333072937007,0.007415305023700988
1.0,local_gamma_X,0.5,4.0,2.0,2.9417119517487873e-07,2.968883531714506e-07,-2.7171579965718735e-09,2.969126372256023e-07,-2.7414420507235885e-09,-0.0011511124093771066,-0.0011614002454614612
1.0,local_gamma_X,1.0,4.0,4.0,5.891218725162739e-07,5.937767063429012e-07,-4.654833826627276e-09,5.939476975123109e-07,-4.8258249960369646e-09,-0.0019720005197265845,-0.002044440200175689
1.0,local_gamma_X,2.0,4.0,8.0,1.186862645666744e-06,1.1875534126858024e-06,-6.907670190583649e-10,1.187667482259664e-06,-8.048365929199134e-10,-0.0002926405047589153,-0.0003409655937563352
1.0,local_gamma_X,4.0,4.0,16.0,2.3604627788194815e-06,2.375106825371605e-06,-1.4644046552123329e-08,2.3942765328428407e-06,-3.381375402335918e-08,-0.00620388793397841,-0.014325052835728326
2.0,coherent_h_XX,0.5,0.5,0.25,7.1781129651338205e-09,2.1423895672791067e-08,-1.4245782707657247e-08,2.1425867680364107e-08,-1.4247754715230287e-08,-0.010527092654757682,-0.010528549893497266
2.0,coherent_h_XX,1.0,0.5,0.5,5.3538007041553655e-08,4.2847791345582134e-08,1.069021569597152e-08,4.284186960859503e-08,1.0696137432958627e-08,0.007899663601519585,0.007904039540365464
2.0,coherent_h_XX,2.0,0.5,1.0,5.936774039733139e-08,8.569558269116427e-08,-2.6327842293832876e-08,8.575401596577952e-08,-2.6386275568448126e-08,-0.01945527605710656,-0.019498456028935348
2.0,coherent_h_XX,4.0,0.5,2.0,1.6204432280730876e-07,1.7139116538232854e-07,-9.346842575019771e-09,1.7147470091155647e-07,-9.4303781042477e-09,-0.006906961859230009,-0.006968691444342518
2.0,coherent_h_XX,0.5,1.0,0.5,7.186944593617905e-08,4.2847791345582134e-08,2.902165459059692e-08,4.2831715093212324e-08,2.903773084296673e-08,0.021445901088002053,0.021457780828252993
2.0,coherent_h_XX,1.0,1.0,1.0,1.5381939649089518e-07,8.569558269116427e-08,6.812381379973091e-08,8.554438543484637e-08,6.827501105604881e-08,0.05034091243577333,0.05045264146878379
2.0,coherent_h_XX,2.0,1.0,2.0,1.833132545411842e-07,1.7139116538232854e-07,1.1922089158855654e-08,1.7128461410371288e-07,1.2028640437471314e-08,0.008809971328995171,0.008888708679233361
2.0,coherent_h_XX,4.0,1.0,4.0,3.804860795320053e-07,3.4278233076465707e-07,3.7703748767348234e-08,3.413973171781395e-07,3.9088762353865825e-08,0.027861639114587725,0.028885111580269233
2.0,coherent_h_XX,0.5,2.0,1.0,7.230357652876497e-08,8.569558269116427e-08,-1.3392006162399298e-08,8.572530555128334e-08,-1.3421729022518367e-08,-0.009896184196947336,-0.009918148262303299
2.0,coherent_h_XX,1.0,2.0,2.0,1.895338284027548e-07,1.7139116538232854e-07,1.8142663020426253e-08,1.7122901897354382e-07,1.830480942921097e-08,0.013406739281332314,0.013526559322388776
2.0,coherent_h_XX,2.0,2.0,4.0,3.425189729136524e-07,3.4278233076465707e-07,-2.633578510046633e-10,3.4279200498044946e-07,-2.730320667970468e-10,-0.00019461145489701814,-0.00020176033313687789
2.0,coherent_h_XX,4.0,2.0,8.0,6.699990415387491e-07,6.855646615293141e-07,-1.5565619990565026e-08,6.881350848272239e-07,-1.8136043288474826e-08,-0.011502402306147045,-0.01340184755070351
2.0,coherent_h_XX,0.5,4.0,2.0,1.9518399330120673e-07,1.7139116538232854e-07,2.379282791887819e-08,1.711785217589787e-07,2.4005471542228032e-08,0.017581996662500432,0.017739132228259413
2.0,coherent_h_XX,1.0,4.0,4.0,3.752430441233967e-07,3.4278233076465707e-07,3.2460713358739635e-08,3.4158991540810125e-07,3.365312871529545e-08,0.023987234971884444,0.024868384656602845
2.0,coherent_h_XX,2.0,4.0,8.0,6.852244153962572e-07,6.855646615293141e-07,-3.40246133056919e-10,6.8562084795735e-07,-3.96432561092734e-10,-0.0002514289766744753,-0.00029294861417076905
2.0,coherent_h_XX,4.0,4.0,16.0,1.353249484435659e-06,1.3711293230586283e-06,-1.787983862296922e-08,1.3945348260946403e-06,-4.1285341658981265e-08,-0.013212522028357238,-0.03050830030517126
2.0,correlated_gamma_XX,0.5,0.5,0.25,-1.7020614408993703e-08,-2.0065301192190526e-08,3.044686783196823e-09,-2.0065722660460626e-08,3.045108251466923e-09,0.0024043769680307434,0.0024047097998369494
2.0,correlated_gamma_XX,1.0,0.5,0.5,-4.6063634268067595e-08,-4.013060238438105e-08,-5.933031883686542e-09,-4.012731584130741e-08,-5.936318426760183e-09,-0.004685291534898026,-0.004687886904810726
2.0,correlated_gamma_XX,2.0,0.5,1.0,-7.296448157256484e-08,-8.02612047687621e-08,7.296723196197266e-09,-8.027739946582676e-08,7.312917893261925e-09,0.005762193106974263,0.005774981994435987
