pair_id,source_x,source_y,nbar,multiplier_x,multiplier_y,C_gamma_IX_per_gate,C_gamma_XI_per_gate,C_gamma_XX_per_gate,C_h_XX_rad_per_gate,C_gamma_X_mean_per_gate,C_gamma_X_ion_asymmetry_per_gate,multiplier_product,a_X_per_gate,a_X_rmse,a_X_max_abs_residual,a_X_nrmse_to_max_abs_response,a_X_r_squared,a_XX_per_gate,a_XX_rmse,a_XX_max_abs_residual,a_XX_nrmse_to_max_abs_response,a_XX_r_squared,b_XX_rad_per_gate,b_XX_rad_rmse,b_XX_rad_max_abs_residual,b_XX_rad_nrmse_to_max_abs_response,b_XX_rad_r_squared,model_C_gamma_X_mean_per_gate,model_C_gamma_XX_per_gate,model_C_h_XX_rad_per_gate,residual_C_gamma_X_mean_per_gate,residual_C_gamma_XX_per_gate,residual_C_h_XX_rad_per_gate
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,4.0,1.0,4.759756146789808e-07,4.894905212670118e-07,-1.2420618585587036e-08,4.70179166401144e-07,4.827330679729963e-07,-6.757453294015526e-09,4.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,4.712376020966017e-07,-3.468815080158306e-08,4.723203223454615e-07,1.1495465876394634e-08,2.2267532215996023e-08,-2.141155944317486e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,0.0,2.0,-1.3552527156068804e-20,1.3552527156068804e-20,8.470329472543003e-22,0.0,0.0,-1.3552527156068804e-20,0.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,0.0,-0.0,0.0,0.0,8.470329472543003e-22,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,0.5,2.0,1.3033664934536382e-07,8.492356221664768e-08,-3.438176698607189e-08,1.372588696989946e-07,1.0763010578100575e-07,2.270654356435807e-08,1.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,1.1780940052415042e-07,-8.672037700395765e-09,1.1808008058636537e-07,-1.017929474314467e-08,-2.5709729285676128e-08,1.917878911262922e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,1.0,2.0,2.385604436481347e-07,2.332006570853444e-07,-2.5128531300633413e-08,2.294956652805491e-07,2.3588055036673954e-07,2.6798932813951485e-09,2.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,2.3561880104830084e-07,-1.734407540079153e-08,2.3616016117273074e-07,2.617493184386967e-10,-7.784455899841883e-09,-6.664495892181638e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,2.0,2.0,4.75122472156099e-07,4.623358815354449e-07,-4.2069616231897175e-08,4.728665533113713e-07,4.6872917684577194e-07,6.393295310327045e-09,4.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,4.712376020966017e-07,-3.468815080158306e-08,4.723203223454615e-07,-2.5084252508297407e-09,-7.381465430314116e-09,5.462309659098103e-10
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,4.0,2.0,9.501508028739683e-07,9.409647855596172e-07,-7.938502227816193e-08,9.500696619198916e-07,9.455577942167928e-07,4.593008657175564e-09,8.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,9.424752041932034e-07,-6.937630160316612e-08,9.44640644690923e-07,3.0825900235894145e-09,-1.0008720674995815e-08,5.429017228968673e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,0.0,4.0,-1.3552527156068804e-20,-4.0657581468206416e-20,8.470329472543003e-22,0.0,-2.710505431213761e-20,1.3552527156068805e-20,0.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,0.0,-0.0,0.0,-2.710505431213761e-20,8.470329472543003e-22,0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,0.5,4.0,2.3202102330089174e-07,2.351052129185373e-07,-1.1573674853561909e-08,2.208140622624727e-07,2.3356311810971453e-07,-1.5420948088227865e-09,2.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,2.3561880104830084e-07,-1.734407540079153e-08,2.3616016117273074e-07,-2.0556829385863164e-09,5.770400547229621e-09,-1.534609891025805e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,1.0,4.0,4.836809385309323e-07,4.536382384632095e-07,-3.239084549373427e-08,4.760905924217074e-07,4.686595884970709e-07,1.5021350033861424e-08,4.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,4.712376020966017e-07,-3.468815080158306e-08,4.723203223454615e-07,-2.578013599530773e-09,2.2973053078487896e-09,3.770270076245949e-09
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,2.0,4.0,9.539016424449804e-07,9.349540852090864e-07,-7.078842300333335e-08,9.421889170854042e-07,9.444278638270334e-07,9.473778617946995e-09,8.0,1.1780940052415042e-07,5.044794204936219e-09,1.1495465876394634e-08,0.002683429735864651,0.999884158299968,8.672037700395765e-09,1.2761427640328363e-08,2.7348767149390867e-08,0.09070917821794328,0.889455386089665,1.1808008058636537e-07,1.0940870333920475e-08,2.3243907555179645e-08,0.005775923871122398,0.999466537630251,9.424752041932034e-07,-6.937630160316612e-08,9.44640644690923e-07,1.952659633830041e-09,-1.4121214001672314e-09,-2.4517276055187508e-09
