nbar,rate_power,sector,mode,coarse_step_size,fine_step_size,fine_maximum_stencil_multiplier,absolute_coefficient_change,fine_absolute_coefficient,relative_coefficient_change,relative_converged,coefficient_rtol
0.01,4,A,"IX,YY",0.2,0.1,0.4,2.634195688794251e-06,1.5143884618068002e-06,1.7394451656422563,False,0.05
0.01,4,A,"IX,YZ",0.2,0.1,0.4,1.0388265666623316e-05,1.065665768338206e-05,0.9748146159205927,False,0.05
0.01,4,A,"IX,ZI",0.2,0.1,0.4,1.0886625800659577e-05,1.135159487591452e-05,0.9590393173525334,False,0.05
0.01,4,A,"IX,ZX",0.2,0.1,0.4,1.7183601983036348e-06,1.8370297030709206e-06,0.9354014229770435,False,0.05
0.01,4,A,"IX,ZY",0.2,0.1,0.4,2.1158361240127343e-05,2.1324251582512812e-05,0.9922205784459273,False,0.05
0.01,4,A,"IX,ZZ",0.2,0.1,0.4,6.312903199247033e-06,4.888181383462279e-06,1.291462551002072,False,0.05
0.01,4,A,"IY,IZ",0.2,0.1,0.4,1.1559090899799864e-05,1.1206572582180712e-05,1.0314563899920375,False,0.05
0.01,4,A,"IY,XI",0.2,0.1,0.4,2.807016254286219e-06,2.5476693116666144e-06,1.101797726036095,False,0.05
0.01,4,A,"IY,XX",0.2,0.1,0.4,7.824348853774401e-06,8.233547612250981e-06,0.9503010393882074,False,0.05
0.01,4,A,"IY,XY",0.2,0.1,0.4,1.3295270840968437e-06,1.1236281533067416e-06,1.183244723963314,False,0.05
0.01,4,A,"IY,XZ",0.2,0.1,0.4,8.166512673783604e-07,6.625824987972571e-07,1.2325276759660484,False,0.05
0.01,4,A,"IY,YI",0.2,0.1,0.4,8.482014198497538e-07,6.489519907561914e-07,1.3070326186400738,False,0.05
0.01,4,A,"IY,YX",0.2,0.1,0.4,4.373325445409361e-06,4.733003002158528e-06,0.9240064803286343,False,0.05
0.01,4,A,"IY,YY",0.2,0.1,0.4,1.5308099959544443e-05,1.48677011741852e-05,1.029621175472904,False,0.05
0.01,4,A,"IY,YZ",0.2,0.1,0.4,1.2067672566168842e-06,1.124036230300432e-06,1.0736017435081606,False,0.05
0.01,4,A,"IY,ZI",0.2,0.1,0.4,1.223548804667858e-05,1.1781981728456027e-05,1.0384915143033397,False,0.05
0.01,4,A,"IY,ZX",0.2,0.1,0.4,1.8559586535085264e-05,1.8593231258179805e-05,0.9981904854176576,False,0.05
