nbar,polynomial_degree,rate_multiplier,rate_s^-1,finest_step_size,in_finest_fit_stencil,actual_response_frobenius,residual_frobenius,relative_residual
2.0,3,0.30000000000000004,5.4,0.05,False,0.004075488015265412,0.00011888936001016017,0.029171809502283038
2.0,3,0.4,7.2,0.05,False,0.0054317436520773905,0.0003174802448990966,0.05844904789968781
2.0,3,0.6000000000000001,10.8,0.05,False,0.008141145896865635,0.0011994704126222194,0.14733434676364407
2.0,3,0.8,14.4,0.05,False,0.010846198017500986,0.0030031020100669474,0.27688061800284886
2.0,4,0.05,0.9,0.05,True,0.0006799152220673278,9.561866537548422e-19,1.406332176013787e-15
2.0,4,0.1,1.8,0.05,True,0.0013595566937846272,9.220760320890201e-19,6.782181547149881e-16
2.0,4,0.15000000000000002,2.7,0.05,True,0.0020389664546188414,1.2436592823306829e-18,6.099459260418137e-16
2.0,4,0.2,3.6,0.05,True,0.0027180682265108003,1.7676034054602178e-18,6.503160546964269e-16
2.0,4,0.30000000000000004,5.4,0.05,False,0.004075488015265412,2.07769305153619e-05,0.005098022724527341
2.0,4,0.4,7.2,0.05,False,0.0054317436520773905,0.00012377639244747412,0.022787598306509803
2.0,4,0.6000000000000001,10.8,0.05,False,0.008141145896865635,0.0010331110020666873,0.12689994936271048
2.0,4,0.8,14.4,0.05,False,0.010846198017500986,0.004050455979409992,0.3734447751068476
3.0,2,0.05,0.9,0.05,True,0.0009237430805956504,4.6788331133885344e-07,0.0005065080552886542
3.0,2,0.1,1.8,0.05,True,0.0018469896705142325,3.239499933480087e-06,0.0017539350572427167
3.0,2,0.15000000000000002,2.7,0.05,True,0.002769737840047656,9.246023175617991e-06,0.0033382304425818524
3.0,2,0.2,3.6,0.05,True,0.0036921171073537582,1.7965431865624156e-05,0.004865888958354432
3.0,2,0.30000000000000004,5.4,0.05,False,0.005535188865811271,4.362047704918957e-05,0.00788057609354876
3.0,2,0.4,7.2,0.05,False,0.0073763157491269025,8.048207731768805e-05,0.01091087746985537
3.0,2,0.6000000000000001,10.8,0.05,False,0.011052899972266205,0.00018758865120608995,0.016971894405702122
