context,noise_source,noise_title,nominal_rate_s^-1,nbar,sector,mode,coefficient_per_gate
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,ZI",-5.247762429802484e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,ZX",-5.902506880475385e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,ZY",-1.2053442956843607e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,ZZ",-6.3033057003575464e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,XY",-8.187227578085865e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,XZ",2.4335709788052817e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,YI",1.5373773988154822e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,YX",-4.8285446959094275e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,YY",1.2079773516053695e-08
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,YZ",-1.304943336488821e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,ZI",4.598760405904548e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,ZX",-3.348289920018097e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,ZY",-1.894135057419701e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,ZZ",-5.60199598337483e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,XZ",-1.3404620370745866e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,YI",1.7157043334809578e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,YX",-3.831359139227944e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,YY",6.020617705395248e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,YZ",1.815502068430192e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,ZI",-1.2916159396110442e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,ZX",2.363084131650079e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,ZY",1.6944108087221034e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XY,ZZ",-4.274862944889988e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,YI",9.320976464121851e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,YX",7.93688680803259e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,YY",1.10673119116218e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,YZ",-1.115529745394969e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,ZI",-4.059658457525048e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,ZX",-9.166925563433939e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,ZY",-1.7097041577295068e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"XZ,ZZ",1.325844683402513e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,YX",1.3790701790813897e-12
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,YY",3.582678935903484e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,YZ",-4.3825672596635177e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,ZI",-7.768116833269336e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,ZX",-8.055438193592665e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,ZY",-6.133860060809243e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YI,ZZ",6.819652047227812e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,YY",3.585100699414198e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,YZ",1.2687051901506674e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,ZI",-4.891488644463096e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,ZX",-1.3725661859244924e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,ZY",1.207518908570687e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YX,ZZ",-2.7651153082170784e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YY,YZ",-1.9358237386861015e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YY,ZI",-2.878933215380071e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YY,ZX",-3.504222305625158e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YY,ZY",-3.526033457937204e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YY,ZZ",1.496909875899424e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YZ,ZI",3.1076103636150664e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,"YZ,ZX",5.286817460604068e-10
