nbar,sector,mode,coefficient_per_gate
1.0,S,ZZ,9.613379725526897e-10
2.0,A,"IX,IY",-2.122554244893418e-09
2.0,A,"IX,IZ",1.0249273019256244e-09
2.0,A,"IX,XI",-5.700711484314163e-09
2.0,A,"IX,XX",3.3757509256815694e-08
2.0,A,"IX,XY",2.094184624736704e-09
2.0,A,"IX,XZ",-4.322151014200502e-10
2.0,A,"IX,YI",-7.302621615207707e-10
2.0,A,"IX,YX",2.160600493866502e-09
2.0,A,"IX,YY",2.210867735017696e-09
2.0,A,"IX,YZ",-1.1979078020573191e-09
2.0,A,"IX,ZI",-2.454438287762561e-09
2.0,A,"IX,ZX",2.5575475937063e-09
2.0,A,"IX,ZY",1.8218743400107212e-09
2.0,A,"IX,ZZ",1.9500730344162616e-09
2.0,A,"IY,IZ",-7.894251302405592e-09
2.0,A,"IY,XI",1.5957347721170834e-09
2.0,A,"IY,XX",-1.4894385023131902e-09
2.0,A,"IY,XY",8.603841937973911e-09
2.0,A,"IY,XZ",1.3122136625370578e-09
2.0,A,"IY,YI",-3.6709119667840697e-10
2.0,A,"IY,YX",-9.868612122970351e-10
2.0,A,"IY,YY",-1.2828789896263996e-09
2.0,A,"IY,YZ",-8.812220841087137e-10
2.0,A,"IY,ZI",1.7659952619176194e-09
2.0,A,"IY,ZX",-1.4448741511136617e-09
2.0,A,"IY,ZY",9.982114879953447e-11
2.0,A,"IY,ZZ",4.4879730418887567e-10
2.0,A,"IZ,XI",-1.5546830532688306e-09
2.0,A,"IZ,XX",9.193276172983544e-10
2.0,A,"IZ,XY",1.2814887649880368e-09
2.0,A,"IZ,XZ",6.8259590101149155e-09
2.0,A,"IZ,YI",-7.066787748576457e-10
2.0,A,"IZ,YX",-1.3439822224336772e-10
2.0,A,"IZ,YY",-2.132775121066481e-09
2.0,A,"IZ,YZ",-3.0517211173458185e-10
2.0,A,"IZ,ZI",-3.384977136033153e-10
2.0,A,"IZ,ZX",-1.3746292251069261e-09
2.0,A,"IZ,ZY",-1.608811024748293e-09
2.0,A,"IZ,ZZ",1.067195547070451e-09
2.0,A,"XI,XX",4.4819357530195155e-08
2.0,A,"XI,XY",1.6279489010582318e-09
2.0,A,"XI,XZ",-1.907434576653422e-10
2.0,A,"XI,YI",-2.7628190179390704e-09
2.0,A,"XI,YX",1.4337417912917577e-09
2.0,A,"XI,YY",2.1504068396834994e-09
2.0,A,"XI,YZ",-7.989818924243117e-10
2.0,A,"XI,ZI",-2.6501838194823604e-09
2.0,A,"XI,ZX",-4.728409424127403e-10
2.0,A,"XI,ZY",1.5786150721720982e-09
2.0,A,"XI,ZZ",2.236035236710472e-09
2.0,A,"XX,XY",-2.405310589689062e-09
2.0,A,"XX,XZ",1.7198767688916526e-09
2.0,A,"XX,YI",-5.2988736343427435e-09
2.0,A,"XX,YX",-9.808590015438655e-09
2.0,A,"XX,YY",3.880419086641803e-14
2.0,A,"XX,YZ",2.9299084703255054e-09
2.0,A,"XX,ZI",1.3412039056096714e-09
2.0,A,"XX,ZX",3.974498589812074e-09
2.0,A,"XX,ZY",2.311611729876237e-10
2.0,A,"XX,ZZ",-4.273798792167956e-09
2.0,A,"XY,XZ",-7.14850335609386e-09
2.0,A,"XY,YI",4.0392087621852587e-10
2.0,A,"XY,YX",-2.559276446424365e-10
2.0,A,"XY,YY",2.1004156784342545e-09
2.0,A,"XY,YZ",2.5293646706595076e-10
2.0,A,"XY,ZI",7.442394482544168e-10
