context,noise_source,noise_title,nominal_rate_s^-1,nbar,eigenmode_rank_by_abs_eigenvalue,eigenvalue_per_gate,jump_axis_expression,axis_IX,axis_IY,axis_IZ,axis_XI,axis_XX,axis_XY,axis_XZ,axis_YI,axis_YX,axis_YY,axis_YZ,axis_ZI,axis_ZX,axis_ZY,axis_ZZ
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,1,0.002077553934599231,+0.707104*IX +0.707110*XI,0.7071039471813458,2.3411756577829124e-07,3.884572515347521e-06,0.7071096150371567,6.5477947089584585e-06,4.3732720944966406e-07,-5.828666931252606e-06,1.2768154800051263e-06,-1.0318964341841026e-06,-5.651277028324795e-06,9.008750562922084e-08,2.816930925457346e-06,-5.719084813801175e-06,-9.022060169794717e-08,-5.923660413192566e-06
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,2,0.0001486681117123578,+1.000000*XX,-3.5444325870039e-05,8.016171775016502e-06,-2.1836574450345933e-05,2.6185714379496165e-05,0.9999999796124319,-3.322857086832816e-06,4.534142849859499e-05,6.7502961076181265e-06,-1.3442158359409512e-05,0.00011982657860771212,-3.279199234859537e-05,0.00012194221676145336,7.496895395265085e-05,1.4416701710270665e-06,8.535437294747787e-06
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,3,1.772767662494419e-08,+0.053114*IX +0.345835*IY +0.229197*IZ -0.053115*XI -0.075922*XY +0.446469*XZ -0.370115*YI -0.225593*YX +0.193326*YY -0.310352*YZ +0.335069*ZI -0.220307*ZX +0.046082*ZY -0.364178*ZZ,0.05311394847829681,0.3458354654427926,0.2291970989165149,-0.053115406416242746,-7.016737060506699e-05,-0.07592188484960104,0.4464687733048792,-0.3701152397868524,-0.22559287900052888,0.19332617653780584,-0.3103519470117873,0.3350685956300938,-0.22030656388158407,0.04608247329928752,-0.36417764919114726
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,4,-1.5056429806095756e-08,+0.096665*IX -0.114767*IY -0.083406*IZ -0.096661*XI -0.120140*XY +0.085794*XZ +0.360889*YI -0.374737*YX -0.120708*YZ +0.621890*ZI +0.386810*ZX +0.136014*ZY +0.314911*ZZ,0.09666509506997388,-0.11476699376793194,-0.08340619478655546,-0.09666100322963278,-0.00011710540696177531,-0.12013985965743379,0.08579426228211977,0.3608888466710504,-0.37473718349902496,-0.010655022508055374,-0.12070755192059991,0.6218899902536391,0.3868095784027527,0.1360135096374957,0.3149113446041376
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,5,1.4065241704905858e-08,+0.338890*IY -0.338083*IZ +0.366048*XY +0.540982*XZ +0.242054*YI +0.224460*YY +0.074212*YZ -0.337442*ZI +0.277417*ZX +0.189868*ZY,-0.021160827292334424,0.3388903552461966,-0.3380833116159981,0.021171968123328104,-4.108276854283732e-05,0.36604764812460905,0.540981671944748,0.24205445698713154,0.002178881186104417,0.22446012485411937,0.07421216682835186,-0.3374417946550365,0.2774165433957978,0.18986801250082289,0.04408231380415852
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,6,-1.2057476251193923e-08,+0.450817*IZ -0.469107*XY +0.124273*YI +0.110207*YX +0.306831*YY -0.270515*ZI +0.543099*ZX +0.122682*ZY -0.256165*ZZ,-0.029449985358235953,-0.048402812081266997,0.4508171181346643,0.02945314825715111,-3.542366849667761e-05,-0.4691074740732728,-0.019983145381268625,0.12427265445345011,0.11020710090274027,0.3068313283889845,-0.041029509191949934,-0.2705154636401626,0.5430994755246633,0.12268193989283,-0.25616490277689125
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,7,-5.800953286571818e-09,+0.372551*IY +0.269706*IZ -0.361922*XY +0.111126*XZ +0.063884*YI -0.378380*YX -0.095607*YY +0.466105*YZ -0.201185*ZI -0.243685*ZX -0.048044*ZY +0.411411*ZZ,-0.005258168418873236,0.3725509526801921,0.26970632528379274,0.005258440506510594,5.6920457419776424e-05,-0.36192151234757103,0.11112617116064052,0.06388416021649729,-0.378380255616882,-0.09560651879581569,0.46610515578237677,-0.20118544475718944,-0.2436849522144339,-0.04804358566460587,0.41141125929992867
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,8,4.686980916169856e-09,-0.331569*XY +0.343309*XZ -0.105358*YI +0.613353*YX -0.063890*YY -0.309229*YZ -0.089401*ZX +0.518092*ZZ,0.0587215798108182,-0.010889471152755757,-0.021359063655994128,-0.05871380607962892,-7.406101757892661e-06,-0.33156922748726236,0.3433092042402413,-0.10535797763949353,0.6133526003795262,-0.06388977730682953,-0.30922947010177565,0.022043495915896716,-0.08940074372479799,0.028742159577508034,0.5180919873673276
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,9,2.2385909583443343e-09,-0.074376*IX +0.287489*IY +0.314067*IZ +0.074367*XI +0.126082*XY +0.084661*XZ +0.607358*YI +0.354751*YX -0.302570*YY +0.247976*ZI -0.110226*ZX -0.236902*ZY -0.255387*ZZ,-0.07437615028569676,0.28748888802608363,0.3140670265415201,0.07436729976414658,1.591018086919107e-05,0.1260820924680335,0.08466138477252377,0.6073576659143721,0.3547513238383244,-0.302569640881134,0.057606150744967215,0.2479755370659841,-0.11022571436493418,-0.2369019450454478,-0.2553873367576831
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,10,6.817552981207902e-10,+0.182036*IX +0.217635*IY -0.414441*IZ -0.182035*XI -0.326079*XY -0.166397*XZ +0.302082*YX +0.241793*YY +0.465922*YZ +0.289423*ZI -0.095333*ZX +0.248399*ZY -0.243299*ZZ,0.18203625864868986,0.21763549458157988,-0.41444080216032186,-0.18203539139405606,-2.9214346435573766e-05,-0.3260789685683071,-0.1663972802667871,0.005695740789193918,0.3020816004312827,0.24179321340665763,0.46592219802364065,0.28942296119366273,-0.09533342217325892,0.24839922675070242,-0.2432992092079762
