noise_source,noise_title,nominal_rate_s^-1,nbar,pauli,pauli_weight,mode_class,delta_h_rad_per_gate,delta_gamma_per_gate,dh_drate_s,dgamma_drate_s
motional_dephasing,Motional dephasing,18.0,4.0,ZI,1,local,5.1358681848487385e-09,6.917736755477111e-09,2.8532601026937436e-10,3.8431870863761726e-10
motional_dephasing,Motional dephasing,18.0,4.0,ZX,2,weight2,1.0283269762796424e-08,4.757612580255282e-09,5.712927645998013e-10,2.6431181001418236e-10
motional_dephasing,Motional dephasing,18.0,4.0,ZY,2,weight2,-4.771129500269409e-09,2.6680266550520293e-09,-2.6506275001496717e-10,1.4822370305844608e-10
motional_dephasing,Motional dephasing,18.0,4.0,ZZ,2,weight2,-4.358385562470727e-15,-7.478347306466276e-10,-2.421325312483737e-16,-4.1546373924812645e-11
motional_heating,Motional heating/diffusion,10.0,0.01,IX,1,local,-1.4709439969184752e-08,0.00024382013638907083,-1.4709439969184752e-09,2.4382013638907083e-05
motional_heating,Motional heating/diffusion,10.0,0.01,IY,1,local,-7.225107653616211e-09,-9.356007233058197e-10,-7.22510765361621e-10,-9.356007233058197e-11
motional_heating,Motional heating/diffusion,10.0,0.01,IZ,1,local,-2.5673172661906038e-11,1.1308256216147164e-09,-2.5673172661906037e-12,1.1308256216147163e-10
motional_heating,Motional heating/diffusion,10.0,0.01,XI,1,local,-4.6069121953477316e-09,0.00024382351154621318,-4.6069121953477315e-10,2.438235115462132e-05
motional_heating,Motional heating/diffusion,10.0,0.01,XX,2,weight2,7.740475843367532e-06,1.5377386616263954e-07,7.740475843367532e-07,1.5377386616263953e-08
motional_heating,Motional heating/diffusion,10.0,0.01,XY,2,weight2,2.853643192987286e-09,2.1521315285000556e-10,2.853643192987286e-10,2.1521315285000557e-11
motional_heating,Motional heating/diffusion,10.0,0.01,XZ,2,weight2,9.628140193025164e-10,-1.274480742245808e-09,9.628140193025164e-11,-1.274480742245808e-10
motional_heating,Motional heating/diffusion,10.0,0.01,YI,1,local,-2.9158508109040767e-09,2.5708492848937347e-09,-2.9158508109040766e-10,2.5708492848937345e-10
motional_heating,Motional heating/diffusion,10.0,0.01,YX,2,weight2,-3.985928834860393e-09,2.4072100598545095e-09,-3.9859288348603934e-10,2.40721005985451e-10
motional_heating,Motional heating/diffusion,10.0,0.01,YY,2,weight2,2.2454588713480996e-09,-3.2176690150932257e-09,2.2454588713480997e-10,-3.2176690150932256e-10
motional_heating,Motional heating/diffusion,10.0,0.01,YZ,2,weight2,-9.58883771338729e-10,-1.3617089871213913e-09,-9.588837713387289e-11,-1.3617089871213912e-10
motional_heating,Motional heating/diffusion,10.0,0.01,ZI,1,local,-6.772894836687224e-11,1.1368489825730796e-09,-6.772894836687224e-12,1.1368489825730796e-10
