noise_source,noise_title,nominal_rate_s^-1,nbar,sector,mode,coefficient_per_gate,coefficient_per_rate_s
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,YZ",5.4077452146640496e-11,3.004302897035583e-12
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,ZI",-2.4054008791753803e-10,-1.3363338217641002e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,ZX",-6.479335453125899e-09,-3.599630807292166e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,ZY",1.066362436498977e-10,5.92423575832765e-12
motional_dephasing,Motional dephasing,18.0,0.01,C,"IX,ZZ",-6.4002080213679425e-09,-3.55567112298219e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,IZ",-2.0841893900621593e-10,-1.1578829944789774e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,XI",7.165776129817284e-10,3.98098673878738e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,XX",1.3867385552069267e-09,7.704103084482926e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,XY",-2.9202465320712154e-10,-1.6223591844840087e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,XZ",1.7760755381423284e-09,9.867086323012936e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,YI",1.0975263202540197e-10,6.097368445855665e-12
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,YX",2.0169790076101856e-09,1.1205438931167697e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,YY",1.7188553932230546e-09,9.54919662901697e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,YZ",-1.5637699857687326e-09,-8.687611032048514e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,ZI",-2.4837925991029716e-10,-1.3798847772794287e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,ZX",-4.3219391494714823e-10,-2.4010773052619347e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,ZY",-1.095096719415271e-09,-6.083870663418172e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IY,ZZ",1.830721352221084e-09,1.0170674179006023e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,XI",2.473020062490258e-09,1.37390003471681e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,XX",2.8223846715590082e-09,1.567991484199449e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,XY",2.4066359297645634e-10,1.3370199609803131e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,XZ",-1.5165854171857606e-09,-8.425474539920893e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,YI",-2.9251677274687007e-10,-1.625093181927056e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,YX",-1.6231193259858254e-09,-9.017329588810141e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,YY",-7.853562461782187e-10,-4.3630902565456595e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,YZ",1.2236716458737186e-10,6.798175810409547e-12
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,ZI",3.6839803169305425e-10,2.0466557316280793e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,ZX",-6.968202070889665e-10,-3.8712233727164807e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,ZY",-3.635153110191105e-11,-2.019529505661725e-12
motional_dephasing,Motional dephasing,18.0,0.01,C,"IZ,ZZ",-1.2747398562616634e-09,-7.081888090342575e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,XX",-2.3870529217039947e-09,-1.3261405120577748e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,XY",5.182248038343608e-09,2.8790266879686716e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,XZ",-6.955443431123255e-09,-3.8641352395129194e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,YI",1.2804058019314231e-09,7.113365566285684e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,YX",3.1501295206223627e-10,1.7500719559013126e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,YY",-6.5031375739012436e-09,-3.612854207722913e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,YZ",-3.8940434396912266e-11,-2.163357466495126e-12
motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,ZI",-5.247762429802484e-10,-2.915423572112491e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,ZX",-5.902506880475385e-09,-3.2791704891529917e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,ZY",-1.2053442956843607e-10,-6.696357198246449e-12
motional_dephasing,Motional dephasing,18.0,0.01,C,"XI,ZZ",-6.3033057003575464e-09,-3.501836500198637e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,XY",-8.187227578085865e-11,-4.548459765603258e-12
motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,XZ",2.4335709788052817e-09,1.3519838771140453e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,YI",1.5373773988154822e-09,8.540985548974901e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,YX",-4.8285446959094275e-11,-2.682524831060793e-12
motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,YY",1.2079773516053695e-08,6.710985286696497e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,YZ",-1.304943336488821e-09,-7.249685202715673e-11
motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,ZI",4.598760405904548e-09,2.5548668921691934e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,ZX",-3.348289920018097e-09,-1.8601610666767205e-10
motional_dephasing,Motional dephasing,18.0,0.01,C,"XX,ZY",-1.894135057419701e-09,-1.052297254122056e-10
