pair_id,source_x,source_y,multiplier_x,multiplier_y,strength_x_s^-1,strength_y_s^-1,condition_id,x_only_condition_id,y_only_condition_id,zero_condition_id,nbar,grid_infidelity,x_only_infidelity,y_only_infidelity,zero_infidelity,additive_prediction,interaction_infidelity,pair_noise_penalty,relative_interaction_to_pair_noise,interaction_per_multiplier_product,nominal_bilinear_coefficient,bilinear_prediction,bilinear_residual,relative_bilinear_residual,delta_heating_infidelity,delta_motional_dephasing_infidelity,independent_overlap,extra_interaction,multiplier_product,kappa_extra_per_multiplier_product,model1_extra_prediction,model1_total_C_prediction,multiplier_heating,multiplier_motional_dephasing,gamma_overlap_score,h_overlap_score,model2_extra_prediction,model2_total_C_prediction,model3_extra_prediction,model3_total_C_prediction
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.0,4.0,0.0,72.0,rates_e627b957213b2032,rates_7283b228c09abbcb,rates_e627b957213b2032,rates_7283b228c09abbcb,0.01,0.002172277059574,0.0002487641440845,0.002172277059574,0.0002487641440845,0.002172277059574,0.0,0.0019235129154895,0.0,,-2.9278646569990026e-07,-0.0,0.0,,0.0,0.0019235129154895,-0.0,0.0,0.0,6.276946112337146e-08,-0.0,-0.0,0.0,4.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,4.0,5.0,72.0,rates_17830da3b3822d7d,rates_d40c9e1dbffac54a,rates_e627b957213b2032,rates_7283b228c09abbcb,0.01,0.0023667004226475,0.0004438274759339,0.002172277059574,0.0002487641440845,0.0023673403914234,-6.399687758999739e-07,0.002117936278563,-0.0003021662088597,-3.19984387949987e-07,-2.9278646569990026e-07,-5.855729313998005e-07,-5.43958445001734e-08,-0.0849976538678433,0.0001950633318494,0.0019235129154895,-5.002757842009803e-07,-1.396929916989936e-07,2.0,6.276946112337146e-08,-1.2553892224674293e-07,-6.258147064477232e-07,0.5,4.0,2.1567625165977642e-07,-1.1326174077308967e-10,-3.742486414148844e-07,-8.745244256158648e-07,-2.2948512059781333e-07,-7.297609047987936e-07
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,4.0,10.0,72.0,rates_8142d8384202664f,rates_a8953962d6e58e19,rates_e627b957213b2032,rates_7283b228c09abbcb,0.01,0.0025609976029631,0.0006387326460262,0.002172277059574,0.0002487641440845,0.0025622455615157,-1.247958552599935e-06,0.0023122334588786,-0.0005397199611518,-3.119896381499838e-07,-2.9278646569990026e-07,-1.171145862799601e-06,-7.681268980033394e-08,-0.0615506738106856,0.00038996850194170004,0.0019235129154895,-1.0001459334919362e-06,-2.4781261910799873e-07,4.0,6.276946112337146e-08,-2.5107784449348585e-07,-1.2512237779854222e-06,1.0,4.0,4.313466680883171e-07,-2.268160935295299e-10,-7.484871573414709e-07,-1.7486330908334072e-06,-4.5897024119562667e-07,-1.4591161746875628e-06
motional_heating__motional_dephasing,motional_heating,motional_dephasing,2.0,4.0,20.0,72.0,rates_32d7c04b5236f41d,rates_95304e3098130ea3,rates_e627b957213b2032,rates_7283b228c09abbcb,0.01,0.0029492576516918,0.0010282516239936,0.002172277059574,0.0002487641440845,0.0029517645394831,-2.5068877913003197e-06,0.0027004935076073,-0.000928307283183,-3.1336097391253996e-07,-2.9278646569990026e-07,-2.342291725599202e-06,-1.6459606570111765e-07,-0.0656575321290076,0.0007794874799091,0.0019235129154895,-1.9991389800900214e-06,-5.077488112102983e-07,8.0,6.276946112337146e-08,-5.021556889869717e-07,-2.501294669076993e-06,2.0,4.0,8.626704063491176e-07,-4.5421426581651717e-10,-1.4969345260797464e-06,-3.496073506169768e-06,-9.179404823912533e-07,-2.9170794624812746e-06
motional_heating__motional_dephasing,motional_heating,motional_dephasing,4.0,4.0,40.0,72.0,rates_4685856fe1f290d1,rates_0e752ad71c6095d9,rates_e627b957213b2032,rates_7283b228c09abbcb,0.01,0.003724300864864,0.0018057867413734,0.002172277059574,0.0002487641440845,0.0037292996568629,-4.998791998900038e-06,0.0034755367207795,-0.0014382791495233,-3.124244999312524e-07,-2.9278646569990026e-07,-4.684583451198404e-06,-3.142085477016339e-07,-0.0628568957801753,0.0015570225972889,0.0019235129154895,-3.993270767458941e-06,-1.005521231441097e-06,16.0,6.276946112337146e-08,-1.0043113779739434e-06,-4.997582145432884e-06,4.0,4.0,1.725292047742173e-06,-9.07416472949939e-10,-2.9937844335776394e-06,-6.98705520103658e-06,-1.8358809647825067e-06,-5.8291517322414474e-06
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.0,0.0,0.0,0.0,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,1.0,0.0013018788028587,0.0013018788028587,0.0013018788028587,0.0013018788028587,0.0013018788028587,0.0,0.0,0.0,,-1.062953931400476e-06,-0.0,0.0,,0.0,0.0,-0.0,0.0,0.0,4.749036628095295e-07,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,0.0,5.0,0.0,rates_d40c9e1dbffac54a,rates_d40c9e1dbffac54a,rates_7283b228c09abbcb,rates_7283b228c09abbcb,1.0,0.0014930351155408,0.0014930351155408,0.0013018788028587,0.0013018788028587,0.0014930351155408,-2.1684043449710093e-19,0.0001911563126821,-1.1343618814080937e-15,,-1.062953931400476e-06,-0.0,-2.1684043449710093e-19,,0.0001911563126821001,0.0,-0.0,-2.1684043449710093e-19,0.0,4.749036628095295e-07,-0.0,-0.0,0.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,0.0,10.0,0.0,rates_a8953962d6e58e19,rates_a8953962d6e58e19,rates_7283b228c09abbcb,rates_7283b228c09abbcb,1.0,0.0016840630080643,0.0016840630080643,0.0013018788028587,0.0013018788028587,0.0016840630080643,0.0,0.0003821842052056,0.0,,-1.062953931400476e-06,-0.0,0.0,,0.00038218420520560016,0.0,-0.0,0.0,0.0,4.749036628095295e-07,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,2.0,0.0,20.0,0.0,rates_95304e3098130ea3,rates_95304e3098130ea3,rates_7283b228c09abbcb,rates_7283b228c09abbcb,1.0,0.0020657804870172,0.0020657804870172,0.0013018788028587,0.0013018788028587,0.0020657804870172,0.0,0.0007639016841585,0.0,,-1.062953931400476e-06,-0.0,0.0,,0.0007639016841585002,0.0,-0.0,0.0,0.0,4.749036628095295e-07,-0.0,-0.0,2.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,4.0,0.0,40.0,0.0,rates_0e752ad71c6095d9,rates_0e752ad71c6095d9,rates_7283b228c09abbcb,rates_7283b228c09abbcb,1.0,0.0028277839058091,0.0028277839058091,0.0013018788028587,0.0013018788028587,0.0028277839058091,0.0,0.0015259051029504,0.0,,-1.062953931400476e-06,-0.0,0.0,,0.0015259051029504,0.0,-0.0,0.0,0.0,4.749036628095295e-07,-0.0,-0.0,4.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.0,0.5,0.0,9.0,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_70251d48c79bc447,rates_7283b228c09abbcb,1.0,0.001871974006538,0.0013018788028587,0.001871974006538,0.0013018788028587,0.001871974006538,0.0,0.0005700952036793,0.0,,-1.062953931400476e-06,-0.0,0.0,,0.0,0.0005700952036793,-0.0,0.0,0.0,4.749036628095295e-07,-0.0,-0.0,0.0,0.5,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,0.5,5.0,9.0,rates_7affb8fbc133d6bd,rates_d40c9e1dbffac54a,rates_70251d48c79bc447,rates_7283b228c09abbcb,1.0,0.0020628713097086,0.0014930351155408,0.001871974006538,0.0013018788028587,0.0020631303192201,-2.590095114999441e-07,0.0007609925068499,-0.0003403575057159,-1.0360380459997764e-06,-1.062953931400476e-06,-2.65738482850119e-07,6.728971350174889e-09,0.0259796302892773,0.0001911563126821001,0.0005700952036793,-1.4530306268411442e-07,-1.1370644881582969e-07,0.25,4.749036628095295e-07,-1.1872591570238237e-07,-2.640289783864968e-07,0.5,0.5,7.641163593709785e-08,-8.355648363330301e-11,-1.3259202493401342e-07,-2.7789508761812784e-07,-1.1159465469456818e-07,-2.568977173786826e-07
