noise_source,noise_title,multiplier,varied_strength_s^-1,condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,IZ,1,local,-4.7739092770703144e-11,0.0001744832383592164
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,XI,1,local,-4.830421888754168e-09,0.0004397704169951392
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,XX,2,correlated,0.013740443423537231,8.321168491794837e-05
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,XY,2,correlated,5.6985778438022133e-11,0.00017448482975793622
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,XZ,2,correlated,5.745530573241265e-10,7.134251735805726e-05
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,YI,1,local,-2.1346266795222426e-09,7.135592501476255e-05
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,YX,2,correlated,3.4370493319944887e-09,0.0001744850430308503
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,YY,2,correlated,1.0168247745946154e-09,0.0
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,YZ,2,correlated,2.8223103828065236e-10,0.0
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,ZI,1,local,1.3622728262981371e-10,0.00017448325615967576
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,ZX,2,correlated,5.401841010829079e-10,7.133840480190913e-05
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,ZY,2,correlated,-4.820037444083825e-09,0.0
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,0.01,ZZ,2,correlated,-1.522173812785187e-16,1.2112972640308947e-08
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,IX,1,local,5.182752194220688e-09,0.0007521177685066737
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,IY,1,local,-1.8341598044086346e-09,9.542709789630922e-05
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,IZ,1,local,-8.748195152120396e-11,0.0001504128612950299
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,XI,1,local,1.2166356754772334e-08,0.0007521200017020204
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,XX,2,correlated,0.028826549720998542,0.0005378756824278574
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,XY,2,correlated,2.1750742442044063e-09,0.0001504010464080955
motional_dephasing,Motional dephasing,0.5,9.0,rates_5f6c6c21f7229406,1.0,XZ,2,correlated,-1.5100639029270854e-10,9.542190022238598e-05
