noise_source,noise_title,multiplier,varied_strength_s^-1,condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate,rank_within_class
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,0.01,ZI,1,local,5.091381815284701e-11,0.00017455296396991495,3
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,1.0,XX,2,correlated,0.02876671527906471,0.0007734587175133947,1
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,1.0,XY,2,correlated,-7.74418502623747e-09,0.00015047704974126882,2
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,1.0,YX,2,correlated,8.175028830783698e-10,0.00015047661795306684,3
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,1.0,IX,1,local,1.0498048943068019e-08,0.001704086246062722,1
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,1.0,XI,1,local,9.7390714682315e-09,0.0017040778057649168,2
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,1.0,IZ,1,local,-4.317395267568239e-10,0.00015049356908856165,3
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,2.0,XX,2,correlated,0.04364907424190668,0.0016394734333437457,1
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,2.0,YX,2,correlated,1.1863140094716754e-10,0.0001439593628604146,2
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,2.0,XY,2,correlated,2.904693250161883e-09,0.00014395645358122975,3
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,2.0,XI,1,local,3.416562248353712e-08,0.002595845614235612,1
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,2.0,IX,1,local,4.307624167949586e-08,0.0025958433881297185,2
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,2.0,IZ,1,local,3.1578093576223623e-10,0.00014399193193773954,3
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,3.0,XX,2,correlated,0.0582199515732293,0.002874552917684441,1
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,3.0,YX,2,correlated,1.0934391283003898e-08,0.0001407086461014547,2
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,3.0,XY,2,correlated,-1.647503041767545e-08,0.0001407071834151257,3
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,3.0,IX,1,local,4.5976104825954964e-10,0.0034391639690472702,1
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,3.0,XI,1,local,1.3434456133082273e-08,0.0034391266433568086,2
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,3.0,ZI,1,local,3.943127319917726e-10,0.00014074657159002905,3
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,4.0,XX,2,correlated,0.07247481759961232,0.00443916345145169,1
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,4.0,XY,2,correlated,2.264080303177998e-08,0.00013867455982508406,2
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,4.0,YX,2,correlated,-3.5915060838042133e-10,0.000138662367976888,3
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,4.0,XI,1,local,6.024509455795863e-09,0.004239219037293496,1
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,4.0,IX,1,local,-1.5652900911909804e-08,0.004239210680323522,2
motional_dephasing,Motional dephasing,2.0,36.0,rates_270dbb0a181563d6,4.0,ZI,1,local,-1.4018669148684738e-10,0.00013871352733793233,3
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,0.01,XX,2,correlated,0.013715636318720649,0.0006473921921969295,1
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,0.01,XY,2,correlated,-9.077241726290047e-09,0.00017455744827222144,2
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,0.01,YX,2,correlated,7.366329988852302e-09,0.0001745566001968039,3
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,0.01,IX,1,local,-1.2601925563868167e-08,0.0012127197701426282,1
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,0.01,XI,1,local,-4.229783584598129e-09,0.0012127021990533142,2
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,0.01,ZI,1,local,1.9585064816947161e-10,0.00017465102958621255,3
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,1.0,XX,2,correlated,0.02869160226472485,0.001094641014655629,1
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,1.0,YX,2,correlated,2.8789645249263813e-09,0.0001505587759981482,2
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,1.0,XY,2,correlated,-2.461303203935592e-09,0.0001505583010989912,3
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,1.0,IX,1,local,1.233506203212521e-08,0.0029596733507947733,1
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,1.0,XI,1,local,1.0883111502611516e-08,0.002959664970814523,2
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,1.0,IZ,1,local,-2.1443990128583117e-10,0.00015061973540778767,3
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,2.0,XX,2,correlated,0.04347401654591971,0.0019669606884436495,1
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,2.0,YX,2,correlated,-2.13915428577992e-08,0.0001440771532886377,2
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,2.0,XY,2,correlated,6.250686910203133e-09,0.0001440765248321901,3
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,2.0,XI,1,local,2.1421031246357078e-08,0.004625188301498129,1
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,2.0,IX,1,local,2.2357726049280208e-08,0.00462516389312736,2
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,2.0,IZ,1,local,7.499082172860685e-11,0.00014411351137884521,3
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,3.0,XX,2,correlated,0.05791454150385376,0.00321090935006844,1
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,3.0,XY,2,correlated,-6.201848605281954e-09,0.00014082915390236083,2
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,3.0,YX,2,correlated,5.927141656774266e-09,0.00014082819975832182,3
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,3.0,IX,1,local,1.2780056770916216e-08,0.006198214221250041,1
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,3.0,XI,1,local,3.366014837212042e-09,0.006198197786564115,2
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,3.0,ZI,1,local,7.834371082688187e-10,0.0001408935100963413,3
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,4.0,XX,2,correlated,0.07201545095174665,0.004784063098658391,1
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,4.0,YX,2,correlated,-4.8774528095697245e-09,0.00013877342104603573,2
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,4.0,XY,2,correlated,9.24661347772686e-09,0.00013877331154932087,3
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,4.0,XI,1,local,-8.372175698706796e-09,0.007687906749946406,1
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,4.0,IX,1,local,-7.417523205614778e-09,0.007687893778199901,2
motional_dephasing,Motional dephasing,4.0,72.0,rates_4f154ffd26e66cb6,4.0,IZ,1,local,6.179057703421859e-10,0.0001388965146797094,3
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,0.01,XY,2,correlated,1.14743278619854e-09,0.00017450551696648623,1
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,0.01,YX,2,correlated,3.6523045127821106e-10,0.00017450536773123016,2
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,0.01,XX,2,correlated,0.013728606312715861,0.00016371404428650342,3
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,0.01,IX,1,local,-1.214453199672927e-08,0.0003066700184668055,1
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,0.01,XI,1,local,-9.455217909977862e-09,0.0003066700005137906,2
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,0.01,ZI,1,local,-1.553838272744833e-11,0.0001745263097648218,3
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,1.0,XX,2,correlated,0.028798192090395858,0.0006155818207841208,1
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,1.0,YX,2,correlated,-4.750101270487296e-09,0.00015042623847624466,2
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,1.0,XY,2,correlated,1.2065408621600384e-09,0.00015042611848004197,3
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,1.0,XI,1,local,2.1476002881323124e-09,0.0008311668222145998,1
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,1.0,IX,1,local,6.956138918698152e-09,0.0008311636019459083,2
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,1.0,IZ,1,local,9.275950805845578e-11,0.00015044686042678818,3
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,2.0,XX,2,correlated,0.043731339550156366,0.0014842166417713292,1
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,2.0,YX,2,correlated,-4.455946220574971e-09,0.00014390490715677974,2
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,2.0,XY,2,correlated,1.4981048397694506e-09,0.0001439042278202918,3
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,2.0,XI,1,local,2.9468837147415736e-08,0.001332033045831638,1
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,2.0,IX,1,local,3.473301468888392e-08,0.0013320273518615821,2
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,2.0,IZ,1,local,-7.082759223252629e-10,0.00014392481351678657,3
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,3.0,XX,2,correlated,0.05836817268337864,0.002722716917359472,1
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,3.0,YX,2,correlated,9.19636547500322e-09,0.00014063975243120493,2
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,3.0,XY,2,correlated,-6.9455979590537745e-09,0.00014063873484215496,3
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,3.0,IX,1,local,1.3760010818160461e-08,0.0018037209954512633,1
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,3.0,XI,1,local,6.582548182052563e-09,0.0018037009032762527,2
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,3.0,IZ,1,local,-6.82767483081794e-10,0.0001406772930998867,3
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,4.0,XX,2,correlated,0.07270086656218096,0.004292300370436474,1
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,4.0,YX,2,correlated,-1.8130223287531812e-09,0.00013861066777233976,2
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,4.0,XY,2,correlated,2.0268258881234624e-09,0.0001386026011771282,3
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,4.0,IX,1,local,1.553305701726465e-08,0.002250269778307254,1
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,4.0,XI,1,local,1.6301773514931363e-08,0.0022502658040114655,2
motional_heating,Motional heating,0.0,0.0,rates_955f664628d0ac20,4.0,ZI,1,local,-8.400896212117463e-11,0.0001386314283285599,3
motional_heating,Motional heating,0.5,5.0,rates_85cf44b10a0a8ca1,0.01,XY,2,correlated,1.6208026541193055e-09,0.0001745059291376235,1
motional_heating,Motional heating,0.5,5.0,rates_85cf44b10a0a8ca1,0.01,YX,2,correlated,8.641248683818302e-10,0.00017450555305278655,2
motional_heating,Motional heating,0.5,5.0,rates_85cf44b10a0a8ca1,0.01,XX,2,correlated,0.013732521610271263,0.00016379082361508876,3
motional_heating,Motional heating,0.5,5.0,rates_85cf44b10a0a8ca1,0.01,XI,1,local,-3.974692758026307e-09,0.00042864376935099885,1
motional_heating,Motional heating,0.5,5.0,rates_85cf44b10a0a8ca1,0.01,IX,1,local,-1.0232842770571747e-08,0.00042863857062960434,2
motional_heating,Motional heating,0.5,5.0,rates_85cf44b10a0a8ca1,0.01,ZI,1,local,1.2930456551552724e-10,0.0001745125169204619,3
motional_heating,Motional heating,0.5,5.0,rates_85cf44b10a0a8ca1,1.0,XX,2,correlated,0.028802247089589197,0.0006157369940520758,1
