condition_id,nbar,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,h_XX_rad_per_gate,gamma_XX_per_gate,dominant_local_pauli,dominant_local_gamma_per_gate,dominant_correlated_pauli,dominant_correlated_gamma_per_gate,average_infidelity,abs_chi_II_XX,chi_XX_XX,generator_frobenius_norm,hamiltonian_fit_frobenius_norm,pauli_dissipator_fit_frobenius_norm,unmodeled_generator_frobenius_norm,generator_reconstruction_error,generator_imaginary_frobenius_norm,gamma_nnls_residual,cptp_projection_iterations,cptp_min_choi_eigenvalue,cptp_tp_frobenius_error,cptp_relative_final_step
rates_5052894f24b711d8,2.0,10.0,18.0,3.3333333333333335,4.0,0.043739865582729485,0.0014847122636456828,IX,0.001566725304167278,XX,0.0014847122636456828,0.005980763570991244,0.04340263584845564,0.003382089696423682,0.24898187137641414,0.24743004449401043,0.024856299216610676,0.012349483594368538,5.331329044833518e-15,2.829654562819179e-15,0.012349483586337738,1.0,1.9773835155994304e-07,2.4828947505386217e-16,9.99230751522129e-16
rates_5052894f24b711d8,3.0,10.0,18.0,3.3333333333333335,4.0,0.0583773119797686,0.002723344384544099,XI,0.0020339702591774225,XX,0.002723344384544099,0.0088776686136546,0.05767089042547644,0.006082913078079178,0.3324635247309235,0.33023194534675865,0.03493043748074551,0.016084840266801178,6.557074505996693e-15,3.4524445607403477e-15,0.016084840238170407,5.0,-1.7627657681608713e-12,1.1147696846533798e-16,4.059542288593595e-12
rates_5052894f24b711d8,4.0,10.0,18.0,3.3333333333333335,4.0,0.07271085859203336,0.00429310288793495,XI,0.0024762036153670305,XX,0.00429310288793495,0.012280798073157762,0.07145142553223241,0.009468928188377366,0.4144055239454565,0.4113147294106149,0.04655249610280557,0.019621334128416528,4.510107273364042e-15,2.346438339567737e-15,0.019621334123498455,1.0,8.42607615440891e-08,1.155846258020422e-16,1.1215567135877416e-15
rates_5f6c6c21f7229406,0.01,10.0,9.0,3.3333333333333335,4.0,0.013740443423537231,8.321168491794837e-05,XI,0.0004397704169951392,YX,0.0001744850430308503,0.0017055816128289437,0.01371710071239771,0.00027205285768642265,0.07824389690256073,0.07772768577038655,0.008316835239982267,0.0033681625360992566,4.785484163006115e-15,2.7250698031421962e-15,0.0033681625173586005,1.0,1.255173265548628e-07,3.3310336983587745e-16,4.51016480755563e-16
rates_5f6c6c21f7229406,1.0,10.0,9.0,3.3333333333333335,4.0,0.028826549720998542,0.0005378756824278574,XI,0.0007521200017020204,XX,0.0005378756824278574,0.003077461084756905,0.02871723827141669,0.0013657065878798502,0.16369619638472044,0.1630675902874531,0.013084916021637036,0.005847279826977124,5.4810511021534995e-15,1.9785410112091327e-15,0.005847279822377929,1.0,1.5438185943961966e-07,2.484052452989651e-16,8.661283653970834e-16
rates_5f6c6c21f7229406,2.0,10.0,9.0,3.3333333333333335,4.0,0.04378607400956264,0.0014096330038982422,IX,0.0010484740310881548,XX,0.0014096330038982422,0.005104263654724939,0.04348482457498346,0.0033112744489394914,0.24861614031505927,0.2476914388297637,0.019786603312132757,0.008211375339547971,5.2233274778001344e-15,2.4149424937679615e-15,0.008211375321289344,1.0,1.7672310641140022e-07,2.3543715058792502e-17,6.896179610721753e-16
rates_5f6c6c21f7229406,3.0,10.0,9.0,3.3333333333333335,4.0,0.05845721479138188,0.00265213362979613,IX,0.0013247896726901606,XX,0.00265213362979613,0.007711717489899162,0.05781962952177365,0.006023660625758475,0.33205891661916237,0.33068394390612543,0.028332065893216025,0.01041860793027096,4.1977299182537275e-15,2.607318327048184e-15,0.010418607893240568,5.0,-1.9059367185802517e-12,1.5825507270201612e-16,3.930963803871183e-12
rates_5f6c6c21f7229406,4.0,10.0,9.0,3.3333333333333335,4.0,0.0728304964221806,0.004226963679209137,XI,0.0015847310601769863,XX,0.004226963679209137,0.010845641208565217,0.07168078553859522,0.009427659161476077,0.41398657234440633,0.41199150317846794,0.038622899311882335,0.012496200981138943,5.5768527284652965e-15,3.755458266570578e-15,0.012496200965674588,4.0,-2.0892111619542733e-12,1.1150971609907036e-16,5.1802303304378795e-12
rates_7418570e02de0b71,0.01,10.0,18.0,0.0,4.0,0.013736439484403198,0.00016385770990196184,XI,0.0005506198601484468,XX,0.00016385770990196184,0.0016805168170431985,0.013716205141390615,0.0003527103592248204,0.07826678447277174,0.07770503607025162,0.008354030113370249,0.0042222152826570545,6.8303844843953605e-15,2.2153824320322833e-15,0.004222215276725053,1.0,1.609396878190429e-08,3.1402872177389094e-16,3.9433914283683633e-16
rates_7418570e02de0b71,1.0,10.0,18.0,0.0,4.0,0.028806252748413697,0.0006158896697152908,IX,0.00107043630748107,XX,0.0006158896697152908,0.00337893294062539,0.028693603518131775,0.0014433762446810021,0.16386892195520159,0.16295277327183072,0.015143141004529083,0.008372726335921721,3.63726833728216e-15,2.1052953282192827e-15,0.008372726333846031,1.0,7.185451537487093e-08,1.9236699544940364e-16,6.426448502821027e-16
