n_bar,row_pauli,column_pauli,component,is_diagonal,real,imag,abs
0.25,XI,XX,"XI,XX",False,1.386767765817603e-09,-4.606626696523437e-09,4.810835099796415e-09
0.25,XI,XY,"XI,XY",False,3.2971273548333046e-09,-6.388762211155582e-10,3.358453754318639e-09
0.25,XI,XZ,"XI,XZ",False,-1.8151232643662252e-09,-2.3140217559397258e-11,1.8152707606613945e-09
0.25,XI,YI,"XI,YI",False,-5.4045016301786535e-11,-2.8571843245831473e-09,2.857695422614299e-09
0.25,XI,YX,"XI,YX",False,3.254514481896412e-10,1.2267358865077083e-10,3.4780375857830124e-10
0.25,XI,YY,"XI,YY",False,-6.156457013965227e-10,-1.7603302476452938e-10,6.403180892773262e-10
0.25,XI,YZ,"XI,YZ",False,3.570036919510989e-18,2.536340401159548e-09,2.536340401159548e-09
0.25,XI,ZI,"XI,ZI",False,1.2127160307525005e-09,-5.5703488682103315e-09,5.700830350467923e-09
0.25,XI,ZX,"XI,ZX",False,-8.907538316703986e-10,8.869383976367137e-11,8.951586372523703e-10
0.25,XI,ZY,"XI,ZY",False,-1.3322922891663746e-10,-2.8808027794854918e-11,1.3630821656507328e-10
0.25,XI,ZZ,"XI,ZZ",False,-3.1231780098352587e-09,-3.0926226749601717e-10,3.138452489877026e-09
0.25,XX,XX,"XX,XX",True,0.0005367047604141889,-1.3213095398726121e-17,0.0005367047604141889
0.25,XX,XY,"XX,XY",False,2.983465081793733e-10,3.102930565268558e-09,3.117240563674975e-09
0.25,XX,XZ,"XX,XZ",False,-6.489311087569359e-10,3.6186141112099436e-09,3.67634052690447e-09
0.25,XX,YI,"XX,YI",False,-2.8757195137846596e-10,4.465546105780371e-10,5.311390095334e-10
0.25,XX,YX,"XX,YX",False,-3.10605766896321e-11,4.127407721155052e-10,4.1390784528780786e-10
0.25,XX,YY,"XX,YY",False,3.767631831519402e-09,-1.1474315871371802e-17,3.767631831519402e-09
