n_bar,channel,row,col,row_pauli,col_pauli,delta_real,delta_imag,delta_abs,baseline_abs,optimized_abs
0.01,exact,13,13,ZX,ZX,5.520599950716963e-06,4.452832684165743e-17,5.520599950716963e-06,3.1548202738490604e-05,3.706880268920757e-05
0.01,exact,15,15,ZZ,ZZ,1.2198550286557364e-07,5.185798457957743e-18,1.2198550286557364e-07,5.3947636274864776e-08,1.7593313914043843e-07
0.01,exact,6,14,XY,ZY,4.910952426331512e-11,-1.0035958874890129e-07,1.0035960076442098e-07,6.20031246213923e-08,3.8405913885818555e-08
0.01,exact,14,6,ZY,XY,4.910947117351221e-11,1.0035958865370151e-07,1.0035960066919523e-07,6.200312456891643e-08,3.840591384569441e-08
0.01,exact,15,13,ZZ,ZX,5.121426261439971e-09,-1.0022793466576513e-07,1.0035869615691632e-07,6.198391693305963e-08,3.8437639927590106e-08
0.01,post_gate_error,5,0,XX,II,4.4743748317359496e-05,0.0006072591201233615,0.0006089052816214411,0.013722976417452312,0.013114469415909427
0.01,post_gate_error,0,5,II,XX,4.4743748317383294e-05,-0.0006072591201233546,0.0006089052816214359,0.013722976417452308,0.01311446941590943
0.01,post_gate_error,5,5,XX,XX,-6.010011541950967e-05,3.0915467912997645e-17,6.010011541950967e-05,0.00035293980634662785,0.0002928396909271182
0.01,post_gate_error,4,1,XI,IX,-4.474374831745973e-05,-7.854946964987684e-09,4.474374900694367e-05,0.0005239416435298649,0.00047919789507397273
0.01,post_gate_error,1,4,IX,XI,-4.4743748317455177e-05,7.854946960906147e-09,4.4743749006939115e-05,0.0005239416435298324,0.00047919789507394476
0.01,post_gate_error,1,1,IX,IX,-3.8272562689066025e-05,-1.5916855110558308e-17,3.8272562689066025e-05,0.0005489537700483514,0.0005106812073592854
0.01,post_gate_error,4,4,XI,XI,-3.8262582372473116e-05,-3.035368538334879e-17,3.8262582372473116e-05,0.0005489534154934501,0.000510690833120977
0.01,post_gate_error,3,3,IZ,IZ,3.1700427399590394e-05,-3.735366203959581e-17,3.1700427399590394e-05,0.0001742185703864711,0.00020591899778606149
0.01,post_gate_error,12,12,ZI,ZI,3.17004263043415e-05,2.809450482818849e-17,3.17004263043415e-05,0.00017421823845757006,0.00020591866476191156
0.01,post_gate_error,6,6,XY,XY,3.161786889932332e-05,4.6057061173011023e-17,3.161786889932332e-05,0.0001742166542004071,0.00020583452309973042
0.01,post_gate_error,9,9,YX,YX,3.161739670034898e-05,-1.9527380753293888e-17,3.161739670034898e-05,0.00017421699523669236,0.00020583439193704134
0.01,post_gate_error,0,0,II,II,-3.1413558977733125e-05,-6.060239438065157e-17,3.1413558977733125e-05,0.9975665444871109,0.9975351309281332
0.01,post_gate_error,9,12,YX,ZI,-1.3868845343512377e-05,7.866759100183748e-10,1.3868845365823498e-05,5.9987067427274376e-05,7.385591230916328e-05
0.01,post_gate_error,12,9,ZI,YX,-1.3868845343477682e-05,-7.866760677563641e-10,1.3868845365788813e-05,5.9987067427352445e-05,7.385591230920663e-05
0.01,post_gate_error,3,6,IZ,XY,-1.3862898898800742e-05,-1.0203672622240559e-09,1.3862898936352389e-05,5.99978245987963e-05,7.386072299392069e-05
0.01,post_gate_error,6,3,XY,IZ,-1.3862898898769517e-05,1.0203672335196776e-09,1.386289893632116e-05,5.9997824598818855e-05,7.386072299391203e-05
0.01,post_gate_error,8,8,YI,YI,1.0416891970326976e-05,2.934451142864626e-17,1.0416891970326976e-05,7.138265651267893e-05,8.17995484830059e-05
0.01,post_gate_error,2,2,IY,IY,1.0406599284100218e-05,3.443507245927219e-17,1.0406599284100218e-05,7.138238474371943e-05,8.178898402781965e-05
0.01,post_gate_error,7,7,XZ,XZ,1.0254672811434753e-05,3.273761790773644e-17,1.0254672811434753e-05,7.136590189836825e-05,8.1620574709803e-05
0.01,post_gate_error,13,13,ZX,ZX,1.024484964371204e-05,3.821125319438842e-17,1.024484964371204e-05,7.136562102600318e-05,8.161047066971522e-05
1.0,exact,5,5,XX,XX,0.000576661764979447,-2.4219015597376612e-17,0.000576661764979447,0.4697674943679875,0.47034415613296693
1.0,exact,0,0,II,II,-0.0005653747765945738,2.0009935446064034e-17,0.0005653747765945738,0.5271199862302156,0.526554611453621
1.0,exact,5,0,XX,II,9.614778815959161e-05,7.99211549823986e-05,0.00012502714977836727,0.4970012855031437,0.49708101463313736
