noise_source,noise_title,nbar,sector,mode,slope_per_rate_s,through_origin_relative_fit_residual,centered_R2_for_origin_fit,max_abs_coefficient_per_gate,max_abs_deviation_normalized_to_max_response,resolved_above_1e-7_per_gate
motional_dephasing,Motional dephasing,4.0,C,"IY,ZY",8.750316698663013e-11,0.5051919969101522,-0.6236072744372774,5.4849075101150245e-09,0.7128380008496603,False
motional_dephasing,Motional dephasing,4.0,C,"IY,ZZ",-1.4355672336948843e-11,0.9445051905032693,0.0764046548978855,2.4344332945409732e-09,0.9002693835091395,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,XI",-5.027744093195806e-12,0.9953990554707393,-0.11547242599205432,3.6254909932962764e-09,0.9875190155147451,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,XX",2.709809312759796e-10,0.6854904135247644,-0.2749608379554329,2.5206326134217107e-08,0.8064907699362699,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,XY",-4.494683834840476e-11,0.9462479846869905,-0.428392789718117,1.1392326977851169e-08,0.9289835086506718,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,XZ",5.7559808940273646e-12,0.9831546666941078,-0.06719435184985634,1.968427308899582e-09,0.9736826308942004,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,YI",-1.248593101630265e-11,0.9343326434024702,-0.2142491437374079,1.7368339048234718e-09,1.033398820776812,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,YX",-2.6562395106294695e-11,0.9233728973651764,-0.6375435146551165,4.578439721059066e-09,0.7911414625755051,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,YY",2.6373794066424702e-12,0.998653134169883,-0.16333047876832052,3.1193168550873934e-09,0.9923905086393934,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,YZ",1.0016118521686015e-11,0.9038319688200881,-0.15634447657563544,1.441641846708996e-09,0.7498822140853949,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,ZI",2.973417993449831e-11,0.927168336632301,0.002072859324879439,5.472396716237652e-09,0.9021972882132461,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,ZX",-5.968186301246584e-12,0.9645821163830457,-0.04753264786021005,1.7398025587709733e-09,0.8765062703456109,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,ZY",3.8954897389154184e-11,0.4987099092448299,0.29107930455435316,2.606398549442998e-09,0.46194863164374983,False
motional_dephasing,Motional dephasing,4.0,C,"IZ,ZZ",-4.9176700338735437e-11,0.8750269559129794,-0.10725186794072816,7.660966823010419e-09,0.8844557577982824,False
motional_dephasing,Motional dephasing,4.0,C,"XI,XX",2.2874135217438695e-10,0.30812575558900723,0.4470219502389968,1.3658336406867307e-08,0.3297618383164808,False
motional_dephasing,Motional dephasing,4.0,C,"XI,XY",1.4581821762587798e-11,0.9986917210011235,-0.15215218544884035,2.2299513002668572e-08,1.0117703373923534,False
motional_dephasing,Motional dephasing,4.0,C,"XI,XZ",-3.000403894389879e-11,0.9616262446113928,0.05299405923155953,6.319857987361672e-09,1.0278659105151509,False
motional_dephasing,Motional dephasing,4.0,C,"XI,YI",-2.117783598459439e-11,0.8688614600566679,0.15639813643892464,2.6076394841181233e-09,1.031783122613048,False
motional_dephasing,Motional dephasing,4.0,C,"XI,YX",1.1921299804701856e-10,0.7297210389692288,0.3700220795347716,1.1539765405196035e-08,0.601640460060456,False
motional_dephasing,Motional dephasing,4.0,C,"XI,YY",-8.28002227171997e-12,0.9971465061793394,-0.053253059400811376,8.528760746043081e-09,1.0087375179893578,False
motional_dephasing,Motional dephasing,4.0,C,"XI,YZ",-8.559284949262927e-12,0.9472017830190249,0.09299553834984764,1.8794064804249064e-09,1.0819764807088992,False
motional_dephasing,Motional dephasing,4.0,C,"XI,ZI",1.3782302353855733e-10,0.3736863132099513,0.34779968517751836,8.55500040140021e-09,0.4200317224326504,False
motional_dephasing,Motional dephasing,4.0,C,"XI,ZX",-4.619988096643892e-11,0.920419019762934,0.08226117049110737,7.077898779589537e-09,0.9103796428285443,False
motional_dephasing,Motional dephasing,4.0,C,"XI,ZY",5.2908653041270575e-12,0.9154396946786594,0.07437019337538076,7.311184422179098e-10,1.0582794959243296,False
motional_dephasing,Motional dephasing,4.0,C,"XI,ZZ",-1.5626586024451232e-10,0.7504363540545449,-0.261483167464847,1.6850182730247873e-08,0.833070920984615,False
motional_dephasing,Motional dephasing,4.0,C,"XX,XY",-5.1439744610001375e-12,0.9765320986018631,0.040895649045169624,1.4240051307765414e-09,0.9349780851930567,False
motional_dephasing,Motional dephasing,4.0,C,"XX,XZ",-2.7284210455928168e-11,0.9557380171224386,-1.0953314603682522,6.142263999460256e-09,0.9600215988559053,False
motional_dephasing,Motional dephasing,4.0,C,"XX,YI",1.4214058293006235e-11,0.9845257232471277,-0.8888481035834896,4.947836509375536e-09,0.9741449572162194,False
motional_dephasing,Motional dephasing,4.0,C,"XX,YX",-6.704939968460901e-12,0.9858465015460004,-0.3826798363839259,2.3910343238270694e-09,0.9495243885754335,False
motional_dephasing,Motional dephasing,4.0,C,"XX,YY",1.1968663648193871e-10,0.9214333014708261,0.05954867112700635,2.0534962923597922e-08,0.8950882227209089,False
motional_dephasing,Motional dephasing,4.0,C,"XX,YZ",-2.7568605110164664e-11,0.9570511837086533,-0.5415008433370785,5.99947384720254e-09,0.8345738627681991,False
motional_dephasing,Motional dephasing,4.0,C,"XX,ZI",-7.826087196074211e-11,0.9308390861791859,-0.6603224840961539,1.2020658739929316e-08,0.9414052205552571,False
motional_dephasing,Motional dephasing,4.0,C,"XX,ZX",2.654818324386375e-10,0.26873695233542116,0.6893047388544422,1.6130155547420836e-08,0.3206033313337702,False
motional_dephasing,Motional dephasing,4.0,C,"XX,ZY",-1.0042556906204774e-10,0.8334180705379906,-3.419595888515209,1.1145374869074513e-08,0.8378107273778076,False
motional_dephasing,Motional dephasing,4.0,C,"XX,ZZ",4.7923962481266677e-11,0.7913870466601495,-2.9595448362501755,5.133938529057715e-09,0.8319747461368362,False
motional_dephasing,Motional dephasing,4.0,C,"XY,XZ",1.257338350664372e-11,0.9699898900958568,-0.08748054984523579,3.90745421507505e-09,0.9420797044156177,False
motional_dephasing,Motional dephasing,4.0,C,"XY,YI",-3.634760884974393e-11,0.7572748839142585,-5.690390777906821,3.357961852224463e-09,0.9025812400367232,False
motional_dephasing,Motional dephasing,4.0,C,"XY,YX",2.319150067704747e-13,0.9999881882149299,-0.11410746309968167,2.870701219292326e-09,0.9992729180428436,False
motional_dephasing,Motional dephasing,4.0,C,"XY,YY",1.3004178407978376e-12,0.9987946290516024,-0.22705848530279416,2.051303840439222e-09,0.9942944773287831,False
motional_dephasing,Motional dephasing,4.0,C,"XY,YZ",-3.9196069410917023e-11,0.8273998211755792,-1.2124832221181316,4.523937979344845e-09,0.8440453311655078,False
motional_dephasing,Motional dephasing,4.0,C,"XY,ZI",-4.8622379456354994e-11,0.8861686914786621,-1.0193759080552853,8.077036050113928e-09,0.8916430699597974,False
motional_dephasing,Motional dephasing,4.0,C,"XY,ZX",3.457849294765422e-11,0.7633291739122374,-2.365385634110367,2.8511742448585178e-09,0.8415598392642814,False
motional_dephasing,Motional dephasing,4.0,C,"XY,ZY",-1.8824924989394723e-11,0.86069929443713,-1.3897592810113033,2.4819004067495e-09,0.7269442005911196,False
motional_dephasing,Motional dephasing,4.0,C,"XY,ZZ",3.372831880431573e-11,0.9389205062862762,-0.1732775209646491,7.682346682428057e-09,0.920973399981241,False
motional_dephasing,Motional dephasing,4.0,C,"XZ,YI",4.6002457628214646e-12,0.9881059776001644,-0.4093986722906213,2.3666206015968966e-09,0.9650115343055353,False
motional_dephasing,Motional dephasing,4.0,C,"XZ,YX",-5.5569763629378225e-11,0.704944711922779,0.14080465076727566,4.8291348385132346e-09,0.7928706116566501,False
motional_dephasing,Motional dephasing,4.0,C,"XZ,YY",-2.8889279727471364e-11,0.673400675052655,-7.292277142362593,2.1890251693833993e-09,0.7624481242301298,False
motional_dephasing,Motional dephasing,4.0,C,"XZ,YZ",-2.091475753109145e-12,0.9644778897710841,0.04505183578386063,4.2289345962762674e-10,1.1780427798013893,False
motional_dephasing,Motional dephasing,4.0,C,"XZ,ZI",-7.097770534614918e-11,0.7190141824756517,-0.3436752064187365,7.1791982480715645e-09,0.8220415912634998,False
motional_dephasing,Motional dephasing,4.0,C,"XZ,ZX",1.1990376714740869e-11,0.8842576329559582,0.21760690753450562,1.4456368873510165e-09,1.149295291752562,False
motional_dephasing,Motional dephasing,4.0,C,"XZ,ZY",-4.571731634044705e-11,0.7325332693374109,-0.6992845930428027,4.507623389941729e-09,0.8174400070857107,False
motional_dephasing,Motional dephasing,4.0,C,"XZ,ZZ",7.61426664305262e-12,0.8157621993594493,-1.7663970059720357,7.501677373789136e-10,0.8172984617362729,False
motional_dephasing,Motional dephasing,4.0,C,"YI,YX",8.546729613944547e-11,0.35224637561452676,-0.11982096133027276,4.898931558858326e-09,0.3133461170774971,False
motional_dephasing,Motional dephasing,4.0,C,"YI,YY",-3.934057918288993e-11,0.17992392326734274,0.8564564147311584,2.5960668182930934e-09,0.19444325471975793,False
motional_dephasing,Motional dephasing,4.0,C,"YI,YZ",5.6993588612806096e-12,0.9664031491844187,0.06524454632880905,1.3746074728357556e-09,1.074631093988901,False
motional_dephasing,Motional dephasing,4.0,C,"YI,ZI",-2.391326841720014e-12,0.9980973437314667,-0.03636104998703016,2.6738351761937247e-09,0.9839018188053632,False
motional_dephasing,Motional dephasing,4.0,C,"YI,ZX",-1.634679077697747e-11,0.9610389745153052,-0.0400502142014032,4.388624783001213e-09,0.9329534310781581,False
motional_dephasing,Motional dephasing,4.0,C,"YI,ZY",-4.620080370448454e-11,0.8792753236348033,-0.19214250128735144,7.605590871453334e-09,0.8906574806959331,False
motional_dephasing,Motional dephasing,4.0,C,"YI,ZZ",6.211718518564511e-11,0.6542808998615162,-4.0475415349143935,4.008578777002911e-09,0.8605354421676618,False
motional_dephasing,Motional dephasing,4.0,C,"YX,YY",-8.286018385429047e-11,0.4171989693333866,0.05383055719312224,5.383626623610298e-09,0.5611669250660252,False
motional_dephasing,Motional dephasing,4.0,C,"YX,YZ",-4.058450255012933e-11,0.7108685085277789,-5.963948644744174,3.1486297759504943e-09,0.7333536064118236,False
motional_dephasing,Motional dephasing,4.0,C,"YX,ZI",4.3702689800713505e-11,0.9479802685770435,0.03689645420984322,7.3845300705948215e-09,1.0969343014589383,False
motional_dephasing,Motional dephasing,4.0,C,"YX,ZX",-4.944263108656772e-11,0.4449166521841213,-0.6866576923221406,3.1550526353578032e-09,0.5656826801527836,False
motional_dephasing,Motional dephasing,4.0,C,"YX,ZY",-6.939112411078043e-13,0.9999416123208611,-0.003818926602105144,3.6144810860235184e-09,0.9930886885045611,False
motional_dephasing,Motional dephasing,4.0,C,"YX,ZZ",-3.752117980988734e-11,0.7616531766881263,-0.6869208755423548,3.873097406289107e-09,0.9128112250054319,False
motional_dephasing,Motional dephasing,4.0,C,"YY,YZ",-2.5322291391418044e-11,0.7414611510449575,0.2589811332847448,1.839577443234388e-09,1.0693907965599383,False
motional_dephasing,Motional dephasing,4.0,C,"YY,ZI",-9.424018963833226e-11,0.4064057213308773,-0.25718412919236533,6.1510918975956104e-09,0.49503006648189574,False
motional_dephasing,Motional dephasing,4.0,C,"YY,ZX",-7.571486107059569e-12,0.9321019737089214,-0.3496014402426768,1.596623989135757e-09,0.8292813450700518,False
motional_dephasing,Motional dephasing,4.0,C,"YY,ZY",-5.84455457069041e-11,0.5447474998147853,0.14736854474960748,4.8896511962023434e-09,0.5696953502362916,False
motional_dephasing,Motional dephasing,4.0,C,"YY,ZZ",-6.733891921518636e-11,0.6874898826686919,-5.186198984686153,5.516209171515726e-09,0.7802656664775646,False
motional_dephasing,Motional dephasing,4.0,C,"YZ,ZI",-2.3760566833473687e-12,0.9937609112891906,-0.01610028442816258,1.2176155991002711e-09,1.0351252237010236,False
motional_dephasing,Motional dephasing,4.0,C,"YZ,ZX",-2.725967884271421e-11,0.261937105813977,0.46291864837410723,1.7880007722906213e-09,0.24273398313558595,False
motional_dephasing,Motional dephasing,4.0,C,"YZ,ZY",1.3793598684135227e-11,0.9259019173545089,-0.6453557949129851,2.917502708551286e-09,0.9148981848117214,False
