noise_source,noise_title,nbar,matrix_family,through_origin_relative_fit_residual,slope_frobenius_norm_per_nominal_multiplier,max_point_relative_deviation
motional_dephasing,Motional dephasing,2.0,C_sector,0.004750974124449311,0.008215007352641324,0.013815935718434837
motional_dephasing,Motional dephasing,2.0,A_sector,0.7427136933920675,7.3505694540827e-08,0.9211167156288028
motional_dephasing,Motional dephasing,3.0,full_generator,0.0055089325516640315,0.018152670337691905,0.016031352131242932
motional_dephasing,Motional dephasing,3.0,stochastic_SC_matrix,0.006517458627994313,0.002806857452008833,0.018914209850301636
motional_dephasing,Motional dephasing,3.0,H_sector,0.010094545611565257,0.0008868626532525132,0.028509901288534315
motional_dephasing,Motional dephasing,3.0,S_sector,0.005010429771447284,0.014249754367135629,0.014620176676287159
motional_dephasing,Motional dephasing,3.0,C_sector,0.006194463443234963,0.011210590874293847,0.017959123679871177
motional_dephasing,Motional dephasing,3.0,A_sector,0.7560709153101498,1.3613222907826878e-07,0.9477442459866076
motional_dephasing,Motional dephasing,4.0,full_generator,0.006649359836636327,0.02265918666240863,0.019320625441096608
motional_dephasing,Motional dephasing,4.0,stochastic_SC_matrix,0.007881454750182173,0.0035177964571501278,0.022842504828543074
motional_dephasing,Motional dephasing,4.0,H_sector,0.009161572067306984,0.0013305035730066584,0.026344035745902737
motional_dephasing,Motional dephasing,4.0,S_sector,0.006064099345194357,0.017720870730567845,0.01765352103810944
motional_dephasing,Motional dephasing,4.0,C_sector,0.007461609010375945,0.014058417653209957,0.021613411935586573
motional_dephasing,Motional dephasing,4.0,A_sector,0.7827721938496155,1.007915450695201e-07,0.9419801774790767
spin_dephasing,Spin dephasing,0.01,full_generator,0.0001009683348784305,0.001444635731647857,0.0004045495179203235
spin_dephasing,Spin dephasing,0.01,stochastic_SC_matrix,0.00017405223266972347,0.00013905120335479514,0.000733144430683515
spin_dephasing,Spin dephasing,0.01,H_sector,0.36963170788620503,1.118201442008923e-07,1.207358377465728
spin_dephasing,Spin dephasing,0.01,S_sector,2.1663982889940562e-05,0.0014311829797878887,0.00011854345205166645
spin_dephasing,Spin dephasing,0.01,C_sector,0.0005039941854566805,0.00019669177994270694,0.002054765768514004
spin_dephasing,Spin dephasing,0.01,A_sector,0.7485766080300227,8.509134886200888e-08,0.9532613460082039
spin_dephasing,Spin dephasing,1.0,full_generator,9.29504471055544e-05,0.0014332279282820565,0.0005351454339780161
spin_dephasing,Spin dephasing,1.0,stochastic_SC_matrix,0.0001678626025750663,0.00013145924111541835,0.0009695581211681639
spin_dephasing,Spin dephasing,1.0,H_sector,0.5014675219582582,7.77913699613881e-08,1.1438068960802168
spin_dephasing,Spin dephasing,1.0,S_sector,2.5987013678306467e-05,0.0014190121474146403,0.00017920804664808813
spin_dephasing,Spin dephasing,1.0,C_sector,0.0004293188401655693,0.0002013623733016139,0.002427030856333321
spin_dephasing,Spin dephasing,1.0,A_sector,0.6879918045258648,9.417498423235964e-08,0.9667252992150208
spin_dephasing,Spin dephasing,2.0,full_generator,0.000149011893936811,0.0014325187384562283,0.0007827637195191315
spin_dephasing,Spin dephasing,2.0,stochastic_SC_matrix,0.00028611952059309716,0.0001309910013047991,0.0015422491651292812
spin_dephasing,Spin dephasing,2.0,H_sector,0.4920251683182187,7.194696351143062e-08,1.156600692519156
spin_dephasing,Spin dephasing,2.0,S_sector,4.991617882035207e-05,0.0014169488075406573,0.0002874112001919919
spin_dephasing,Spin dephasing,2.0,C_sector,0.0006720494438139659,0.00021063236050944002,0.0035464255442913253
spin_dephasing,Spin dephasing,2.0,A_sector,0.717525563782573,1.3838432206739762e-07,0.871499422991086
spin_dephasing,Spin dephasing,3.0,full_generator,0.00019233096642817438,0.0014331324011128022,0.0008549509991072179
spin_dephasing,Spin dephasing,3.0,stochastic_SC_matrix,0.00039643788775451505,0.00013141158683058373,0.0017955035221307635
spin_dephasing,Spin dephasing,3.0,H_sector,0.23078768049169365,2.0746583392016184e-07,0.637286889768767
spin_dephasing,Spin dephasing,3.0,S_sector,5.4856030688163224e-05,0.0014161377246501034,0.0002811046236071526
spin_dephasing,Spin dephasing,3.0,C_sector,0.000940494721664551,0.00022005079334411846,0.004176863268362356
spin_dephasing,Spin dephasing,3.0,A_sector,0.6905530678804038,1.815329673488911e-07,0.8596474155816027
spin_dephasing,Spin dephasing,4.0,full_generator,0.00028078650833673874,0.0014341776059529708,0.0011431935598081404
spin_dephasing,Spin dephasing,4.0,stochastic_SC_matrix,0.0004978361078266469,0.00013212456587293094,0.0020400983068115173
spin_dephasing,Spin dephasing,4.0,H_sector,0.7683931268161885,8.792710581131084e-08,1.257465291744899
spin_dephasing,Spin dephasing,4.0,S_sector,0.00010009400614118422,0.0014156965464970294,0.00041524576209673144
spin_dephasing,Spin dephasing,4.0,C_sector,0.0011026943305266893,0.00022949651005542028,0.004489594676419321
spin_dephasing,Spin dephasing,4.0,A_sector,0.8243105377751329,1.9951321894656524e-07,0.8998272479521099
photon_scattering,Photon scattering,0.01,full_generator,9.156847902719908e-05,0.00299686613847965,0.00023905290445489522
photon_scattering,Photon scattering,0.01,stochastic_SC_matrix,0.0001636596345033907,0.00026715998487018556,0.000406778439090407
photon_scattering,Photon scattering,0.01,H_sector,0.30072574982657535,3.703369229686528e-07,2.7098537632730766
photon_scattering,Photon scattering,0.01,S_sector,2.6358250511568115e-05,0.0029725612807501717,6.533050039740705e-05
photon_scattering,Photon scattering,0.01,C_sector,0.00045228288175855157,0.0003809014442064168,0.001097876715595428
photon_scattering,Photon scattering,0.01,A_sector,0.6634387102066481,2.011195874664653e-07,0.9141630097205492
photon_scattering,Photon scattering,1.0,full_generator,4.685651156759889e-05,0.0029825953836257447,0.00017162804490779477
photon_scattering,Photon scattering,1.0,stochastic_SC_matrix,6.964411081536314e-05,0.00025697119348090127,0.00033080747866818687
photon_scattering,Photon scattering,1.0,H_sector,0.3125835882737003,2.9392058699639e-07,2.4535293870372445
photon_scattering,Photon scattering,1.0,S_sector,1.472869469912148e-05,0.0029566400799788933,5.587561897127904e-05
photon_scattering,Photon scattering,1.0,C_sector,0.00016194555025674008,0.00039262521282090127,0.000797807134733798
photon_scattering,Photon scattering,1.0,A_sector,0.46516584611732636,1.287228212914079e-07,0.8796685301792271
photon_scattering,Photon scattering,2.0,full_generator,7.535894582261567e-05,0.002982398612857811,0.00044004504181904445
photon_scattering,Photon scattering,2.0,stochastic_SC_matrix,0.00014376016336698868,0.00025683330074413634,0.0008694520994244252
photon_scattering,Photon scattering,2.0,H_sector,0.28906851749658935,3.174783893879424e-07,1.429234255944692
photon_scattering,Photon scattering,2.0,S_sector,2.2508472258782595e-05,0.0029539725449502065,0.00015480069561487727
photon_scattering,Photon scattering,2.0,C_sector,0.00033929479313849083,0.0004107889513455766,0.0020017531222074926
photon_scattering,Photon scattering,2.0,A_sector,0.6403127453760238,1.6984401014776956e-07,0.8676230832124726
photon_scattering,Photon scattering,3.0,full_generator,8.25453685627437e-05,0.0029839547782037823,0.0004999366792452026
photon_scattering,Photon scattering,3.0,stochastic_SC_matrix,0.00017652113891988334,0.00025795683575931483,0.0011011229093091529
